sku_id,unit_cost,annual_demand,annual_consumption_value,abc_class
SKU_00118,446.82,31983,14290644.06,A
SKU_00961,303.56,46579,14139521.24,A
SKU_00252,426.31,33162,14137292.22,A
SKU_00480,316.55,44655,14135540.25,A
SKU_00165,418.47,33760,14127547.200000001,A
SKU_00820,402.41,35005,14086362.05,A
SKU_00052,470.05,29966,14085518.3,A
SKU_00709,342.34,41001,14036282.34,A
SKU_00398,376.68,37035,13950343.8,A
SKU_00541,305.06,45450,13864977.0,A
SKU_00414,317.76,43508,13825102.08,A
SKU_00697,292.71,47155,13802740.049999999,A
SKU_00872,323.78,42522,13767773.159999998,A
SKU_00508,475.15,28806,13687170.899999999,A
SKU_00947,450.51,30237,13622070.87,A
SKU_00221,286.31,47556,13615758.36,A
SKU_00463,293.77,46263,13590681.51,A
SKU_00182,462.72,29292,13553994.24,A
SKU_00355,323.0,41852,13518196.0,A
SKU_00200,322.81,41855,13511212.55,A
SKU_00839,317.97,42468,13503549.96,A
SKU_00771,423.99,31448,13333637.52,A
SKU_00860,388.89,34184,13293815.76,A
SKU_00886,328.11,40490,13285173.9,A
SKU_00065,273.63,48388,13240408.44,A
SKU_00473,446.12,29645,13225227.4,A
SKU_00325,370.26,35712,13222725.12,A
SKU_00568,452.56,29152,13193029.12,A
SKU_00295,263.51,49938,13159162.379999999,A
SKU_00401,451.76,29109,13150281.84,A
SKU_00774,399.66,32879,13140421.14,A
SKU_00807,463.16,28311,13112522.760000002,A
SKU_00914,278.26,46920,13055959.2,A
SKU_00647,341.16,38238,13045276.08,A
SKU_00388,376.55,34631,13040303.05,A
SKU_00903,293.61,44411,13039513.71,A
SKU_00247,483.49,26805,12959949.450000001,A
SKU_00154,492.9,26272,12949468.799999999,A
SKU_00549,387.3,33397,12934658.1,A
SKU_00532,498.34,25949,12931424.66,A
SKU_00949,300.72,42928,12909308.160000002,A
SKU_00396,429.91,29859,12836682.690000001,A
SKU_00020,307.87,41460,12764290.200000001,A
SKU_00548,262.55,48464,12724223.200000001,A
SKU_00489,445.68,28480,12692966.4,A
SKU_00107,379.0,33013,12511927.0,A
SKU_00609,346.75,36046,12498950.5,A
SKU_00462,374.29,33326,12473588.540000001,A
SKU_00966,360.93,34547,12469048.71,A
SKU_00358,470.41,26485,12458808.850000001,A
SKU_00970,333.52,37311,12443964.719999999,A
SKU_00791,295.18,42074,12419403.32,A
SKU_00755,398.04,31110,12383024.4,A
SKU_00631,448.13,27520,12332537.6,A
SKU_00421,395.86,30911,12236428.46,A
SKU_00534,385.65,31685,12219320.25,A
SKU_00720,469.48,26023,12217278.040000001,A
SKU_00467,434.96,28061,12205412.559999999,A
SKU_00233,248.8,48974,12184731.200000001,A
SKU_00688,385.9,31563,12180161.7,A
SKU_00336,428.45,28187,12076720.15,A
SKU_00510,308.64,39104,12069058.559999999,A
SKU_00781,273.65,43890,12010498.499999998,A
SKU_00824,271.01,44239,11989211.389999999,A
SKU_00420,396.83,29881,11857677.23,A
SKU_00847,498.45,23769,11847658.049999999,A
SKU_00551,426.83,27590,11776239.7,A
SKU_00662,304.86,38625,11775217.5,A
SKU_00119,271.97,43294,11774669.180000002,A
SKU_00953,457.63,25692,11757429.959999999,A
SKU_00789,473.91,24696,11703681.360000001,A
SKU_00438,354.59,32957,11686222.629999999,A
SKU_00204,305.18,38101,11627663.18,A
SKU_00494,234.53,49558,11622837.74,A
SKU_00321,358.72,32332,11598135.040000001,A
SKU_00453,453.65,25391,11518627.149999999,A
SKU_00337,353.31,32447,11463849.57,A
SKU_00700,268.63,42387,11386419.81,A
SKU_00104,454.25,25051,11379416.75,A
SKU_00716,416.16,27308,11364497.280000001,A
SKU_00661,493.33,23011,11352016.629999999,A
SKU_00894,335.7,33637,11291940.9,A
SKU_00176,347.01,32384,11237571.84,A
SKU_00187,279.82,40159,11237291.379999999,A
SKU_00815,261.82,42741,11190448.62,A
SKU_00831,228.96,48468,11097233.280000001,A
SKU_00725,421.71,26313,11096455.229999999,A
SKU_00359,289.86,38258,11089463.88,A
SKU_00595,239.61,46017,11026133.370000001,A
SKU_00523,421.85,26063,10994676.55,A
SKU_00802,290.26,37750,10957315.0,A
SKU_00766,382.42,28541,10914649.22,A
SKU_00086,366.16,29729,10885570.64,A
SKU_00884,400.96,27142,10882856.32,A
SKU_00723,371.85,29265,10882190.25,A
SKU_00972,367.62,29401,10808395.620000001,A
SKU_00076,386.78,27888,10786520.639999999,A
SKU_00851,376.23,28652,10779741.96,A
SKU_00196,364.35,29225,10648128.75,A
SKU_00876,359.41,29444,10582468.040000001,A
SKU_00797,284.74,37014,10539366.360000001,A
SKU_00686,287.95,36587,10535226.65,A
SKU_00093,282.83,37229,10529478.07,A
SKU_00242,457.86,22990,10526201.4,A
SKU_00186,409.52,25659,10507873.68,A
SKU_00633,268.4,39130,10502492.0,A
SKU_00862,264.57,39675,10496814.75,A
SKU_00074,354.89,29530,10479901.7,A
SKU_00535,472.66,22115,10452875.9,A
SKU_00276,400.16,25921,10372547.360000001,A
SKU_00861,229.38,45205,10369122.9,A
SKU_00490,230.55,44762,10319879.1,A
SKU_00554,438.94,23379,10261978.26,A
SKU_00444,407.34,25103,10225456.02,A
SKU_00981,386.6,26442,10222477.200000001,A
SKU_00364,471.03,21663,10203922.889999999,A
SKU_00501,270.37,37512,10142119.44,A
SKU_00838,292.39,34666,10135991.74,A
SKU_00399,378.5,26689,10101786.5,A
SKU_00915,220.88,45508,10051807.04,A
SKU_00258,287.18,34932,10031771.76,A
SKU_00136,261.8,38297,10026154.6,A
SKU_00778,361.42,27698,10010611.16,A
SKU_00804,214.94,46513,9997504.22,A
SKU_00017,264.75,37741,9991929.75,A
SKU_00543,337.49,29526,9964729.74,A
SKU_00890,362.52,27313,9901508.76,A
SKU_00749,314.0,31424,9867136.0,A
SKU_00474,266.21,36977,9843647.17,A
SKU_00695,307.26,31990,9829247.4,A
SKU_00823,202.09,48578,9817128.02,A
SKU_00191,449.12,21854,9815068.48,A
SKU_00048,275.62,35535,9794156.7,A
SKU_00159,365.47,26785,9789113.950000001,A
SKU_00976,299.56,32476,9728510.56,A
SKU_00027,259.55,37298,9680695.9,A
SKU_00437,411.82,23498,9676946.36,A
SKU_00116,402.82,23995,9665665.9,A
SKU_00683,335.98,28725,9651025.5,A
SKU_00296,386.15,24960,9638304.0,A
SKU_00302,272.61,35296,9622042.56,A
SKU_00081,313.53,30686,9620981.58,A
SKU_00055,461.33,20762,9578133.459999999,A
SKU_00054,300.96,31805,9572032.799999999,A
SKU_00692,256.27,37308,9560921.16,A
SKU_00913,207.66,45899,9531386.34,A
SKU_00739,191.59,49706,9523172.540000001,A
SKU_00717,482.69,19714,9515750.66,A
SKU_00939,290.38,32681,9489908.78,A
SKU_00363,275.08,34475,9483383.0,A
SKU_00968,285.37,33104,9446888.48,A
SKU_00921,246.28,38057,9372677.96,A
SKU_00408,453.16,20681,9371801.96,A
SKU_00525,237.0,39543,9371691.0,A
SKU_00989,410.46,22741,9334270.86,A
SKU_00738,222.37,41881,9313077.97,A
SKU_00956,261.86,35533,9304671.38,A
SKU_00521,193.54,48008,9291468.32,A
SKU_00691,215.59,42923,9253769.57,A
SKU_00162,318.6,28931,9217416.600000001,A
SKU_00788,233.69,39438,9216266.22,A
SKU_00993,297.16,30782,9147179.120000001,A
SKU_00677,201.94,45241,9135967.54,A
SKU_00315,349.51,26129,9132346.79,A
SKU_00817,202.51,45076,9128340.76,A
SKU_00248,481.99,18887,9103345.13,A
SKU_00188,267.18,33842,9041905.56,A
SKU_00865,282.02,32010,9027460.2,A
SKU_00415,226.98,39599,8988181.02,A
SKU_00516,191.35,46904,8975080.4,A
SKU_00578,248.6,36084,8970482.4,A
SKU_00129,257.82,34736,8955635.52,A
SKU_00533,279.94,31960,8946882.4,A
SKU_00275,253.25,35250,8927062.5,A
SKU_00742,375.07,23716,8895160.12,A
SKU_00423,249.74,35588,8887747.120000001,A
SKU_00078,182.44,48643,8874428.92,A
SKU_00160,187.05,47419,8869723.950000001,A
SKU_00504,343.94,25758,8859206.52,A
SKU_00270,405.63,21836,8857336.68,A
SKU_00994,183.68,47964,8810027.52,A
SKU_00488,475.45,18411,8753509.95,A
SKU_00277,326.73,26760,8743294.8,A
SKU_00103,256.74,34033,8737632.42,A
SKU_00461,326.36,26730,8723602.8,A
SKU_00303,320.53,27183,8712966.989999998,A
SKU_00034,482.99,18005,8696234.95,A
SKU_00848,253.59,34168,8664663.120000001,A
SKU_00998,475.37,18173,8638899.01,A
SKU_00274,258.11,33439,8630940.290000001,A
SKU_00348,190.43,45023,8573729.89,A
SKU_00793,307.67,27864,8572916.88,A
SKU_00732,334.27,25526,8532576.02,A
SKU_00570,259.42,32881,8529989.020000001,A
SKU_00623,244.84,34807,8522145.88,A
SKU_00255,280.62,30320,8508398.4,A
SKU_00612,315.81,26888,8491499.28,A
SKU_00751,470.22,17924,8428223.280000001,A
SKU_00674,208.15,40387,8406554.05,A
SKU_00219,425.37,19723,8389572.51,A
SKU_00263,261.57,31675,8285229.75,A
SKU_00978,250.7,33016,8277111.199999999,A
SKU_00545,182.29,45341,8265210.89,A
SKU_00043,455.11,17950,8169224.5,A
SKU_00417,167.69,48690,8164826.1,A
SKU_00999,225.77,36135,8158198.95,A
SKU_00863,223.18,36551,8157452.180000001,A
SKU_00268,182.95,44586,8157008.699999999,A
SKU_00125,216.42,37673,8153190.659999999,A
SKU_00714,177.69,45843,8145842.67,A
SKU_00560,353.52,22961,8117172.72,A
SKU_00338,239.72,33856,8115960.32,A
SKU_00194,172.82,46781,8084692.42,A
SKU_00039,222.88,36162,8059786.56,A
SKU_00564,178.54,45065,8045905.1,A
SKU_00246,216.95,36866,7998078.699999999,A
SKU_00499,493.17,16182,7980476.94,A
SKU_00786,293.78,27087,7957618.859999999,A
SKU_00395,465.72,17067,7948443.24,A
SKU_00089,238.75,33139,7911936.25,A
SKU_00484,294.24,26845,7898872.8,A
SKU_00304,364.42,21610,7875116.2,A
SKU_00607,185.31,42367,7851028.7700000005,A
SKU_00161,317.99,24678,7847357.220000001,A
SKU_00217,374.51,20795,7787935.45,A
SKU_00174,324.36,23974,7776206.640000001,A
SKU_00365,196.12,39441,7735168.92,A
SKU_00910,297.2,25866,7687375.199999999,A
SKU_00502,158.22,48579,7686169.38,A
SKU_00639,191.76,39848,7641252.4799999995,A
SKU_00343,219.76,34550,7592708.0,A
SKU_00553,282.66,26823,7581789.180000001,A
SKU_00990,400.71,18892,7570213.319999999,A
SKU_00069,493.51,15329,7565014.79,A
SKU_00153,247.28,30548,7553909.44,A
SKU_00857,238.67,31501,7518343.67,A
SKU_00003,301.34,24891,7500653.9399999995,A
SKU_00085,165.97,45184,7499188.4799999995,A
SKU_00657,184.73,40463,7474729.989999999,A
SKU_00195,177.86,41973,7465317.78,A
SKU_00853,449.54,16493,7414263.220000001,A
SKU_00785,454.68,16273,7399007.64,B
SKU_00376,423.21,17443,7382052.029999999,B
SKU_00451,281.41,26115,7349022.15,B
SKU_00122,162.41,45128,7329238.4799999995,B
SKU_00045,332.95,21876,7283614.2,B
SKU_00106,208.14,34901,7264294.14,B
SKU_00906,409.63,17725,7260691.75,B
SKU_00684,465.04,15604,7256484.16,B
SKU_00157,382.0,18950,7238900.0,B
SKU_00618,404.07,17874,7222347.18,B
SKU_00452,214.99,33420,7184965.800000001,B
SKU_00547,337.43,21216,7158914.88,B
SKU_00102,160.61,44560,7156781.600000001,B
SKU_00526,210.34,33823,7114329.82,B
SKU_00660,181.27,39162,7098895.74,B
SKU_00572,201.29,35146,7074538.34,B
SKU_00743,253.85,27823,7062868.55,B
SKU_00896,150.11,46982,7052468.0200000005,B
SKU_00756,311.94,22543,7032063.42,B
SKU_00566,199.16,35233,7017004.28,B
SKU_00849,299.72,23353,6999361.160000001,B
SKU_00734,182.62,38318,6997633.16,B
SKU_00373,343.09,20117,6901941.529999999,B
SKU_00341,239.37,28702,6870397.74,B
SKU_00917,474.48,14310,6789808.8,B
SKU_00685,280.6,24189,6787433.4,B
SKU_00567,221.55,30623,6784525.65,B
SKU_00675,491.28,13769,6764434.319999999,B
SKU_00082,168.79,40074,6764090.46,B
SKU_00138,185.0,36432,6739920.0,B
SKU_00584,318.53,21039,6701552.669999999,B
SKU_00024,230.75,29021,6696595.75,B
SKU_00279,398.92,16761,6686298.12,B
SKU_00596,335.44,19916,6680623.04,B
SKU_00012,417.06,15996,6671291.76,B
SKU_00986,345.76,19269,6662449.4399999995,B
SKU_00529,433.04,15382,6661021.28,B
SKU_00115,436.37,15252,6655515.24,B
SKU_00025,393.66,16874,6642618.840000001,B
SKU_00843,480.73,13773,6621094.29,B
SKU_00229,317.41,20770,6592605.7,B
SKU_00232,290.57,22634,6576761.38,B
SKU_00455,248.85,26389,6566902.649999999,B
SKU_00050,484.94,13509,6551054.46,B
SKU_00091,358.06,18255,6536385.3,B
SKU_00344,202.26,32296,6532188.96,B
SKU_00018,218.81,29811,6522944.91,B
SKU_00765,287.1,22712,6520615.2,B
SKU_00651,270.87,23957,6489232.59,B
SKU_00261,495.08,13087,6479111.96,B
SKU_00051,388.69,16614,6457695.66,B
SKU_00506,455.91,14125,6439728.75,B
SKU_00062,415.23,15417,6401600.91,B
SKU_00375,162.89,39210,6386916.899999999,B
SKU_00144,146.0,43613,6367498.0,B
SKU_00624,311.04,20437,6356724.48,B
SKU_00918,382.98,16556,6340616.88,B
SKU_00349,314.8,20082,6321813.600000001,B
SKU_00904,213.61,29471,6295300.3100000005,B
SKU_00611,400.71,15663,6276320.7299999995,B
SKU_00289,297.46,21053,6262425.38,B
SKU_00522,485.11,12903,6259374.33,B
SKU_00768,174.33,35731,6228985.23,B
SKU_00061,139.32,44647,6220220.04,B
SKU_00808,228.17,27217,6210102.89,B
SKU_00954,212.29,29082,6173817.779999999,B
SKU_00538,228.02,27058,6169765.16,B
SKU_00673,264.63,23296,6164820.4799999995,B
SKU_00740,234.03,26300,6154989.0,B
SKU_00095,249.43,24674,6154435.82,B
SKU_00394,173.7,35301,6131783.699999999,B
SKU_00569,177.39,34514,6122438.46,B
SKU_00457,236.99,25783,6110313.17,B
SKU_00931,418.29,14584,6100341.36,B
SKU_00280,445.55,13607,6062598.850000001,B
SKU_00361,323.43,18739,6060754.7700000005,B
SKU_00310,222.29,27182,6042286.779999999,B
SKU_00909,192.95,31107,6002095.649999999,B
SKU_00329,127.63,46866,5981507.58,B
SKU_00496,293.91,20149,5921992.590000001,B
SKU_00907,174.2,33993,5921580.6,B
SKU_00964,147.9,39991,5914668.9,B
SKU_00088,444.17,13084,5811520.28,B
SKU_00272,434.2,13381,5810030.2,B
SKU_00822,170.08,34154,5808912.32,B
SKU_00416,150.14,38659,5804262.26,B
SKU_00301,268.02,21527,5769666.54,B
SKU_00432,311.02,18433,5733031.659999999,B
SKU_00216,166.07,34180,5676272.6,B
SKU_00877,331.17,17114,5667643.38,B
SKU_00184,132.68,42620,5654821.600000001,B
SKU_00879,114.88,49204,5652555.52,B
SKU_00140,481.41,11693,5629127.13,B
SKU_00483,315.64,17750,5602610.0,B
SKU_00552,278.19,20075,5584664.25,B
SKU_00108,118.26,47137,5574421.62,B
SKU_00537,127.44,43685,5567216.399999999,B
SKU_00067,402.09,13837,5563719.33,B
SKU_00131,114.94,48380,5560797.2,B
SKU_00544,310.97,17878,5559521.66,B
SKU_00666,126.75,43853,5558367.75,B
SKU_00527,140.34,39163,5496135.42,B
SKU_00322,331.8,16522,5481999.600000001,B
SKU_00911,137.69,39632,5456930.08,B
SKU_00873,207.32,26260,5444223.2,B
SKU_00561,110.42,49253,5438516.26,B
SKU_00962,126.45,42991,5436211.95,B
SKU_00224,136.28,39792,5422853.76,B
SKU_00327,307.8,17582,5411739.600000001,B
SKU_00173,117.12,46107,5400051.84,B
SKU_00591,322.23,16753,5398319.19,B
SKU_00829,228.85,23586,5397656.1,B
SKU_00410,163.06,33081,5394187.86,B
SKU_00941,279.32,19301,5391155.32,B
SKU_00540,477.26,11271,5379197.46,B
SKU_00381,349.88,15351,5371007.88,B
SKU_00155,124.82,42974,5364014.68,B
SKU_00210,276.62,19229,5319125.98,B
SKU_00169,297.49,17864,5314361.36,B
SKU_00227,199.58,26392,5267315.36,B
SKU_00826,176.44,29834,5263910.96,B
SKU_00638,138.28,38046,5261000.88,B
SKU_00835,212.37,24711,5247875.07,B
SKU_00307,164.86,31698,5225732.28,B
SKU_00141,129.63,40142,5203607.46,B
SKU_00185,331.69,15685,5202557.65,B
SKU_00536,425.58,12103,5150794.74,B
SKU_00251,195.62,26223,5129743.26,B
SKU_00550,262.48,19442,5103136.16,B
SKU_00234,101.65,49808,5062983.2,B
SKU_00426,223.56,22531,5037030.36,B
SKU_00594,448.91,11183,5020160.53,B
SKU_00608,254.19,19676,5001442.44,B
SKU_00328,212.7,23511,5000789.7,B
SKU_00992,139.71,35685,4985551.350000001,B
SKU_00880,119.38,41721,4980652.9799999995,B
SKU_00007,433.76,11444,4963949.4399999995,B
SKU_00314,418.81,11845,4960804.45,B
SKU_00935,139.79,35296,4934027.84,B
SKU_00146,306.73,15976,4900318.48,B
SKU_00041,250.11,19526,4883647.86,B
SKU_00690,165.22,29359,4850693.9799999995,B
SKU_00929,132.65,36478,4838806.7,B
SKU_00845,210.24,22768,4786744.32,B
SKU_00699,243.16,19608,4767881.28,B
SKU_00059,166.04,28635,4754555.399999999,B
SKU_00733,263.92,17872,4716778.24,B
SKU_00635,226.47,20777,4705367.19,B
SKU_00385,402.72,11636,4686049.92,B
SKU_00172,258.49,18124,4684872.76,B
SKU_00800,355.08,13176,4678534.08,B
SKU_00256,468.4,9982,4675568.8,B
SKU_00026,103.84,44913,4663765.92,B
SKU_00362,231.84,20094,4658592.96,B
SKU_00702,171.62,27084,4648156.08,B
SKU_00721,94.71,48608,4603663.68,B
SKU_00036,155.78,29498,4595198.44,B
SKU_00762,128.0,35857,4589696.0,B
SKU_00615,460.83,9947,4583876.01,B
SKU_00652,295.49,15498,4579504.0200000005,B
SKU_00402,255.1,17873,4559402.3,B
SKU_00360,197.14,23119,4557679.66,B
SKU_00763,373.25,12140,4531255.0,B
SKU_00713,208.86,21692,4530591.12,B
SKU_00180,173.83,26031,4524968.73,B
SKU_00744,119.95,37674,4518996.3,B
SKU_00783,176.12,25619,4512018.28,B
SKU_00015,95.79,46717,4475021.430000001,B
SKU_00658,324.73,13705,4450424.65,B
SKU_00342,90.73,49001,4445860.73,B
SKU_00198,444.11,10003,4442432.33,B
SKU_00920,434.89,10206,4438487.34,B
SKU_00269,150.33,29357,4413237.8100000005,B
SKU_00397,217.35,20272,4406119.2,B
SKU_00495,179.91,24463,4401138.33,B
SKU_00689,97.59,45012,4392721.08,B
SKU_00293,183.29,23921,4384480.09,B
SKU_00142,251.14,17420,4374858.8,B
SKU_00016,155.6,28035,4362246.0,B
SKU_00893,201.61,21500,4334615.0,B
SKU_00406,197.65,21904,4329325.600000001,B
SKU_00477,279.16,15449,4312742.840000001,B
SKU_00643,167.11,25711,4296565.21,B
SKU_00404,163.42,26243,4288631.06,B
SKU_00143,153.93,27476,4229380.680000001,B
SKU_00777,362.52,11656,4225533.12,B
SKU_00796,466.4,9006,4200398.399999999,B
SKU_00469,481.8,8701,4192141.8000000003,B
SKU_00225,125.77,33230,4179337.1,B
SKU_00505,85.5,48870,4178385.0,B
SKU_00105,128.4,32513,4174669.2,B
SKU_00386,144.61,28641,4141775.0100000002,B
SKU_00092,381.59,10716,4089118.44,B
SKU_00761,159.3,25637,4083974.1,B
SKU_00852,108.9,37484,4082007.6,B
SKU_00340,248.35,16435,4081632.25,B
SKU_00979,300.44,13495,4054437.8,B
SKU_00585,123.87,32519,4028128.5300000003,B
SKU_00250,150.75,26688,4023216.0,B
SKU_00663,122.43,32656,3998074.08,B
SKU_00963,197.7,20203,3994133.0999999996,B
SKU_00175,91.31,43742,3994082.02,B
SKU_00632,258.28,15460,3993008.7999999993,B
SKU_00842,93.13,42768,3982983.84,B
SKU_00881,337.59,11795,3981874.05,B
SKU_00819,170.92,23271,3977479.32,B
SKU_00801,80.51,49392,3976549.9200000004,B
SKU_00605,233.09,17059,3976282.31,B
SKU_00064,144.06,27445,3953726.7,B
SKU_00984,365.45,10799,3946494.55,B
SKU_00000,190.4,20591,3920526.4,B
SKU_00757,269.06,14537,3911325.22,B
SKU_00912,313.95,12423,3900200.8499999996,B
SKU_00670,90.82,42424,3852947.6799999997,B
SKU_00046,159.3,24177,3851396.1,B
SKU_00033,474.7,8107,3848392.9,B
SKU_00309,139.06,27670,3847790.2,B
SKU_00693,124.99,30759,3844567.4099999997,B
SKU_00855,99.39,38620,3838441.8,B
SKU_00597,90.3,42340,3823302.0,B
SKU_00698,81.41,46833,3812674.53,B
SKU_00124,117.83,32223,3796836.09,B
SKU_00266,350.02,10806,3782316.1199999996,B
SKU_00298,313.33,12039,3772179.8699999996,B
SKU_00110,148.43,25380,3767153.4000000004,B
SKU_00779,322.37,11663,3759801.31,B
SKU_00642,109.67,34097,3739417.99,B
SKU_00212,327.72,11403,3736991.16,B
SKU_00507,412.16,9046,3728399.3600000003,B
SKU_00583,167.73,22027,3694588.71,B
SKU_00075,365.86,10096,3693722.56,B
SKU_00816,297.68,12389,3687957.52,B
SKU_00934,89.98,40847,3675413.06,B
SKU_00023,186.35,19641,3660100.35,B
SKU_00167,97.33,37543,3654060.19,B
SKU_00589,80.19,44838,3595559.2199999997,B
SKU_00987,220.24,16263,3581763.12,B
SKU_00637,125.02,28504,3563570.08,B
SKU_00389,404.38,8812,3563396.56,C
SKU_00213,116.01,30661,3556982.6100000003,C
SKU_00430,75.78,46924,3555900.72,C
SKU_00951,334.19,10626,3551102.94,C
SKU_00579,132.83,26716,3548686.2800000003,C
SKU_00478,484.8,7279,3528859.2,C
SKU_00286,235.47,14959,3522395.73,C
SKU_00659,287.54,12215,3512301.1,C
SKU_00282,190.91,18371,3507207.61,C
SKU_00980,170.45,20521,3497804.4499999997,C
SKU_00511,212.03,16409,3479200.27,C
SKU_00177,196.43,17702,3477203.8600000003,C
SKU_00582,248.85,13860,3449061.0,C
SKU_00944,107.18,32107,3441228.2600000002,C
SKU_00600,88.62,38763,3435177.06,C
SKU_00223,187.02,18188,3401519.7600000002,C
SKU_00806,467.51,7251,3389915.01,C
SKU_00747,274.06,12278,3364908.68,C
SKU_00022,149.61,22397,3350815.1700000004,C
SKU_00622,188.38,17758,3345252.04,C
SKU_00629,129.96,25719,3342441.24,C
SKU_00556,71.34,46778,3337142.52,C
SKU_00531,499.86,6663,3330567.18,C
SKU_00235,362.61,9117,3305915.37,C
SKU_00317,90.78,36224,3288414.72,C
SKU_00946,72.76,44943,3270052.68,C
SKU_00715,465.12,7024,3267002.88,C
SKU_00215,122.44,26672,3265719.68,C
SKU_00942,327.45,9786,3204425.6999999997,C
SKU_00703,71.54,44733,3200198.8200000003,C
SKU_00885,93.38,33855,3161379.9,C
SKU_00482,230.0,13712,3153760.0,C
