bin_id,zone,aisle,rack,bin,x_coord,y_coord
BIN_000119,A,1,1,9,11,9
BIN_000120,A,1,2,0,12,0
BIN_000121,A,1,2,1,12,1
BIN_000122,A,1,2,2,12,2
BIN_000123,A,1,2,3,12,3
BIN_000124,A,1,2,4,12,4
BIN_000125,A,1,2,5,12,5
BIN_000126,A,1,2,6,12,6
BIN_000127,A,1,2,7,12,7
BIN_000128,A,1,2,8,12,8
BIN_000129,A,1,2,9,12,9
BIN_000130,A,1,3,0,13,0
BIN_000131,A,1,3,1,13,1
BIN_000132,A,1,3,2,13,2
BIN_000133,A,1,3,3,13,3
BIN_000134,A,1,3,4,13,4
BIN_000135,A,1,3,5,13,5
BIN_000136,A,1,3,6,13,6
BIN_000137,A,1,3,7,13,7
BIN_000138,A,1,3,8,13,8
BIN_000139,A,1,3,9,13,9
BIN_000140,A,1,4,0,14,0
BIN_000141,A,1,4,1,14,1
BIN_000142,A,1,4,2,14,2
BIN_000143,A,1,4,3,14,3
BIN_000144,A,1,4,4,14,4
BIN_000145,A,1,4,5,14,5
BIN_000146,A,1,4,6,14,6
BIN_000147,A,1,4,7,14,7
BIN_000148,A,1,4,8,14,8
BIN_000149,A,1,4,9,14,9
BIN_000150,A,1,5,0,15,0
BIN_000151,A,1,5,1,15,1
BIN_000152,A,1,5,2,15,2
BIN_000153,A,1,5,3,15,3
BIN_000154,A,1,5,4,15,4
BIN_000155,A,1,5,5,15,5
BIN_000156,A,1,5,6,15,6
BIN_000157,A,1,5,7,15,7
BIN_000158,A,1,5,8,15,8
BIN_000159,A,1,5,9,15,9
BIN_000160,A,1,6,0,16,0
BIN_000161,A,1,6,1,16,1
BIN_000162,A,1,6,2,16,2
BIN_000163,A,1,6,3,16,3
BIN_000164,A,1,6,4,16,4
BIN_000165,A,1,6,5,16,5
BIN_000166,A,1,6,6,16,6
BIN_000167,A,1,6,7,16,7
BIN_000168,A,1,6,8,16,8
BIN_000169,A,1,6,9,16,9
BIN_000170,A,1,7,0,17,0
BIN_000171,A,1,7,1,17,1
BIN_000172,A,1,7,2,17,2
BIN_000173,A,1,7,3,17,3
BIN_000174,A,1,7,4,17,4
BIN_000175,A,1,7,5,17,5
BIN_000176,A,1,7,6,17,6
BIN_000177,A,1,7,7,17,7
BIN_000178,A,1,7,8,17,8
BIN_000179,A,1,7,9,17,9
BIN_000180,A,1,8,0,18,0
BIN_000181,A,1,8,1,18,1
BIN_000182,A,1,8,2,18,2
BIN_000183,A,1,8,3,18,3
BIN_000184,A,1,8,4,18,4
BIN_000185,A,1,8,5,18,5
BIN_000186,A,1,8,6,18,6
BIN_000187,A,1,8,7,18,7
BIN_000188,A,1,8,8,18,8
BIN_000189,A,1,8,9,18,9
BIN_000190,A,1,9,0,19,0
BIN_000191,A,1,9,1,19,1
BIN_000192,A,1,9,2,19,2
BIN_000193,A,1,9,3,19,3
BIN_000194,A,1,9,4,19,4
BIN_000195,A,1,9,5,19,5
BIN_000196,A,1,9,6,19,6
BIN_000197,A,1,9,7,19,7
BIN_000198,A,1,9,8,19,8
BIN_000199,A,1,9,9,19,9
BIN_000200,A,2,0,0,20,0
BIN_000201,A,2,0,1,20,1
BIN_000202,A,2,0,2,20,2
BIN_000203,A,2,0,3,20,3
BIN_000204,A,2,0,4,20,4
BIN_000205,A,2,0,5,20,5
BIN_000206,A,2,0,6,20,6
BIN_000207,A,2,0,7,20,7
BIN_000208,A,2,0,8,20,8
BIN_000209,A,2,0,9,20,9
BIN_000210,A,2,1,0,21,0
BIN_000211,A,2,1,1,21,1
BIN_000212,A,2,1,2,21,2
BIN_000213,A,2,1,3,21,3
BIN_000214,A,2,1,4,21,4
BIN_000215,A,2,1,5,21,5
BIN_000216,A,2,1,6,21,6
BIN_000217,A,2,1,7,21,7
BIN_000218,A,2,1,8,21,8
BIN_000219,A,2,1,9,21,9
BIN_000220,A,2,2,0,22,0
BIN_000221,A,2,2,1,22,1
BIN_000222,A,2,2,2,22,2
BIN_000223,A,2,2,3,22,3
BIN_000224,A,2,2,4,22,4
BIN_000225,A,2,2,5,22,5
BIN_000226,A,2,2,6,22,6
BIN_000227,A,2,2,7,22,7
BIN_000228,A,2,2,8,22,8
BIN_000229,A,2,2,9,22,9
BIN_000230,A,2,3,0,23,0
BIN_000231,A,2,3,1,23,1
BIN_000232,A,2,3,2,23,2
BIN_000233,A,2,3,3,23,3
BIN_000234,A,2,3,4,23,4
BIN_000235,A,2,3,5,23,5
BIN_000236,A,2,3,6,23,6
BIN_000237,A,2,3,7,23,7
BIN_000238,A,2,3,8,23,8
BIN_000239,A,2,3,9,23,9
BIN_000240,A,2,4,0,24,0
BIN_000241,A,2,4,1,24,1
BIN_000242,A,2,4,2,24,2
BIN_000243,A,2,4,3,24,3
BIN_000244,A,2,4,4,24,4
BIN_000245,A,2,4,5,24,5
BIN_000246,A,2,4,6,24,6
BIN_000247,A,2,4,7,24,7
BIN_000248,A,2,4,8,24,8
BIN_000249,A,2,4,9,24,9
BIN_000250,A,2,5,0,25,0
BIN_000251,A,2,5,1,25,1
BIN_000252,A,2,5,2,25,2
BIN_000253,A,2,5,3,25,3
BIN_000254,A,2,5,4,25,4
BIN_000255,A,2,5,5,25,5
BIN_000256,A,2,5,6,25,6
BIN_000257,A,2,5,7,25,7
BIN_000258,A,2,5,8,25,8
BIN_000259,A,2,5,9,25,9
BIN_000260,A,2,6,0,26,0
BIN_000261,A,2,6,1,26,1
BIN_000262,A,2,6,2,26,2
BIN_000263,A,2,6,3,26,3
BIN_000264,A,2,6,4,26,4
BIN_000265,A,2,6,5,26,5
BIN_000266,A,2,6,6,26,6
BIN_000267,A,2,6,7,26,7
BIN_000268,A,2,6,8,26,8
BIN_000269,A,2,6,9,26,9
BIN_000270,A,2,7,0,27,0
BIN_000271,A,2,7,1,27,1
BIN_000272,A,2,7,2,27,2
BIN_000273,A,2,7,3,27,3
BIN_000274,A,2,7,4,27,4
BIN_000275,A,2,7,5,27,5
BIN_000276,A,2,7,6,27,6
BIN_000277,A,2,7,7,27,7
BIN_000278,A,2,7,8,27,8
BIN_000279,A,2,7,9,27,9
BIN_000280,A,2,8,0,28,0
BIN_000281,A,2,8,1,28,1
BIN_000282,A,2,8,2,28,2
BIN_000283,A,2,8,3,28,3
BIN_000284,A,2,8,4,28,4
BIN_000285,A,2,8,5,28,5
BIN_000286,A,2,8,6,28,6
BIN_000287,A,2,8,7,28,7
BIN_000288,A,2,8,8,28,8
BIN_000289,A,2,8,9,28,9
BIN_000290,A,2,9,0,29,0
BIN_000291,A,2,9,1,29,1
BIN_000292,A,2,9,2,29,2
BIN_000293,A,2,9,3,29,3
BIN_000294,A,2,9,4,29,4
BIN_000295,A,2,9,5,29,5
BIN_000296,A,2,9,6,29,6
BIN_000297,A,2,9,7,29,7
BIN_000298,A,2,9,8,29,8
BIN_000299,A,2,9,9,29,9
BIN_000300,A,3,0,0,30,0
BIN_000301,A,3,0,1,30,1
BIN_000302,A,3,0,2,30,2
BIN_000303,A,3,0,3,30,3
BIN_000304,A,3,0,4,30,4
BIN_000305,A,3,0,5,30,5
BIN_000306,A,3,0,6,30,6
BIN_000307,A,3,0,7,30,7
BIN_000308,A,3,0,8,30,8
BIN_000309,A,3,0,9,30,9
BIN_000310,A,3,1,0,31,0
BIN_000311,A,3,1,1,31,1
BIN_000312,A,3,1,2,31,2
BIN_000313,A,3,1,3,31,3
BIN_000314,A,3,1,4,31,4
BIN_000315,A,3,1,5,31,5
BIN_000316,A,3,1,6,31,6
BIN_000317,A,3,1,7,31,7
BIN_000318,A,3,1,8,31,8
BIN_000319,A,3,1,9,31,9
BIN_000320,A,3,2,0,32,0
BIN_000321,A,3,2,1,32,1
BIN_000322,A,3,2,2,32,2
BIN_000323,A,3,2,3,32,3
BIN_000324,A,3,2,4,32,4
BIN_000325,A,3,2,5,32,5
BIN_000326,A,3,2,6,32,6
BIN_000327,A,3,2,7,32,7
BIN_000328,A,3,2,8,32,8
BIN_000329,A,3,2,9,32,9
BIN_000330,A,3,3,0,33,0
BIN_000331,A,3,3,1,33,1
BIN_000332,A,3,3,2,33,2
BIN_000333,A,3,3,3,33,3
BIN_000334,A,3,3,4,33,4
BIN_000335,A,3,3,5,33,5
BIN_000336,A,3,3,6,33,6
BIN_000337,A,3,3,7,33,7
BIN_000338,A,3,3,8,33,8
BIN_000339,A,3,3,9,33,9
BIN_000340,A,3,4,0,34,0
BIN_000341,A,3,4,1,34,1
BIN_000342,A,3,4,2,34,2
BIN_000343,A,3,4,3,34,3
BIN_000344,A,3,4,4,34,4
BIN_000345,A,3,4,5,34,5
BIN_000346,A,3,4,6,34,6
BIN_000347,A,3,4,7,34,7
BIN_000348,A,3,4,8,34,8
BIN_000349,A,3,4,9,34,9
BIN_000350,A,3,5,0,35,0
BIN_000351,A,3,5,1,35,1
BIN_000352,A,3,5,2,35,2
BIN_000353,A,3,5,3,35,3
BIN_000354,A,3,5,4,35,4
BIN_000355,A,3,5,5,35,5
BIN_000356,A,3,5,6,35,6
BIN_000357,A,3,5,7,35,7
BIN_000358,A,3,5,8,35,8
BIN_000359,A,3,5,9,35,9
BIN_000360,A,3,6,0,36,0
BIN_000361,A,3,6,1,36,1
BIN_000362,A,3,6,2,36,2
BIN_000363,A,3,6,3,36,3
BIN_000364,A,3,6,4,36,4
BIN_000365,A,3,6,5,36,5
BIN_000366,A,3,6,6,36,6
BIN_000367,A,3,6,7,36,7
BIN_000368,A,3,6,8,36,8
BIN_000369,A,3,6,9,36,9
BIN_000370,A,3,7,0,37,0
BIN_000371,A,3,7,1,37,1
BIN_000372,A,3,7,2,37,2
BIN_000373,A,3,7,3,37,3
BIN_000374,A,3,7,4,37,4
BIN_000375,A,3,7,5,37,5
BIN_000376,A,3,7,6,37,6
BIN_000377,A,3,7,7,37,7
BIN_000378,A,3,7,8,37,8
BIN_000379,A,3,7,9,37,9
BIN_000380,A,3,8,0,38,0
BIN_000381,A,3,8,1,38,1
BIN_000382,A,3,8,2,38,2
BIN_000383,A,3,8,3,38,3
BIN_000384,A,3,8,4,38,4
BIN_000385,A,3,8,5,38,5
BIN_000386,A,3,8,6,38,6
BIN_000387,A,3,8,7,38,7
BIN_000388,A,3,8,8,38,8
BIN_000389,A,3,8,9,38,9
BIN_000390,A,3,9,0,39,0
BIN_000391,A,3,9,1,39,1
BIN_000392,A,3,9,2,39,2
BIN_000393,A,3,9,3,39,3
BIN_000394,A,3,9,4,39,4
BIN_000395,A,3,9,5,39,5
BIN_000396,A,3,9,6,39,6
BIN_000397,A,3,9,7,39,7
BIN_000398,A,3,9,8,39,8
BIN_000399,A,3,9,9,39,9
BIN_000400,A,4,0,0,40,0
BIN_000401,A,4,0,1,40,1
BIN_000402,A,4,0,2,40,2
BIN_000403,A,4,0,3,40,3
BIN_000404,A,4,0,4,40,4
BIN_000405,A,4,0,5,40,5
BIN_000406,A,4,0,6,40,6
BIN_000407,A,4,0,7,40,7
BIN_000408,A,4,0,8,40,8
BIN_000409,A,4,0,9,40,9
BIN_000410,A,4,1,0,41,0
BIN_000411,A,4,1,1,41,1
BIN_000412,A,4,1,2,41,2
BIN_000413,A,4,1,3,41,3
BIN_000414,A,4,1,4,41,4
BIN_000415,A,4,1,5,41,5
BIN_000416,A,4,1,6,41,6
BIN_000417,A,4,1,7,41,7
BIN_000418,A,4,1,8,41,8
BIN_000419,A,4,1,9,41,9
BIN_000420,A,4,2,0,42,0
BIN_000421,A,4,2,1,42,1
BIN_000422,A,4,2,2,42,2
BIN_000423,A,4,2,3,42,3
BIN_000424,A,4,2,4,42,4
BIN_000425,A,4,2,5,42,5
BIN_000426,A,4,2,6,42,6
BIN_000427,A,4,2,7,42,7
BIN_000428,A,4,2,8,42,8
BIN_000429,A,4,2,9,42,9
BIN_000430,A,4,3,0,43,0
BIN_000431,A,4,3,1,43,1
BIN_000432,A,4,3,2,43,2
BIN_000433,A,4,3,3,43,3
BIN_000434,A,4,3,4,43,4
BIN_000435,A,4,3,5,43,5
BIN_000436,A,4,3,6,43,6
BIN_000437,A,4,3,7,43,7
BIN_000438,A,4,3,8,43,8
BIN_000439,A,4,3,9,43,9
BIN_000440,A,4,4,0,44,0
BIN_000441,A,4,4,1,44,1
BIN_000442,A,4,4,2,44,2
BIN_000443,A,4,4,3,44,3
BIN_000444,A,4,4,4,44,4
BIN_000445,A,4,4,5,44,5
BIN_000446,A,4,4,6,44,6
BIN_000447,A,4,4,7,44,7
BIN_000448,A,4,4,8,44,8
BIN_000449,A,4,4,9,44,9
BIN_000450,A,4,5,0,45,0
BIN_000451,A,4,5,1,45,1
BIN_000452,A,4,5,2,45,2
BIN_000453,A,4,5,3,45,3
BIN_000454,A,4,5,4,45,4
BIN_000455,A,4,5,5,45,5
BIN_000456,A,4,5,6,45,6
BIN_000457,A,4,5,7,45,7
BIN_000458,A,4,5,8,45,8
BIN_000459,A,4,5,9,45,9
BIN_000460,A,4,6,0,46,0
BIN_000461,A,4,6,1,46,1
BIN_000462,A,4,6,2,46,2
BIN_000463,A,4,6,3,46,3
BIN_000464,A,4,6,4,46,4
BIN_000465,A,4,6,5,46,5
BIN_000466,A,4,6,6,46,6
BIN_000467,A,4,6,7,46,7
BIN_000468,A,4,6,8,46,8
BIN_000469,A,4,6,9,46,9
BIN_000470,A,4,7,0,47,0
BIN_000471,A,4,7,1,47,1
BIN_000472,A,4,7,2,47,2
BIN_000473,A,4,7,3,47,3
BIN_000474,A,4,7,4,47,4
BIN_000475,A,4,7,5,47,5
BIN_000476,A,4,7,6,47,6
BIN_000477,A,4,7,7,47,7
BIN_000478,A,4,7,8,47,8
BIN_000479,A,4,7,9,47,9
BIN_000480,A,4,8,0,48,0
BIN_000481,A,4,8,1,48,1
BIN_000482,A,4,8,2,48,2
BIN_000483,A,4,8,3,48,3
BIN_000484,A,4,8,4,48,4
BIN_000485,A,4,8,5,48,5
BIN_000486,A,4,8,6,48,6
BIN_000487,A,4,8,7,48,7
BIN_000488,A,4,8,8,48,8
BIN_000489,A,4,8,9,48,9
BIN_000490,A,4,9,0,49,0
BIN_000491,A,4,9,1,49,1
BIN_000492,A,4,9,2,49,2
BIN_000493,A,4,9,3,49,3
BIN_000494,A,4,9,4,49,4
BIN_000495,A,4,9,5,49,5
BIN_000496,A,4,9,6,49,6
BIN_000497,A,4,9,7,49,7
BIN_000498,A,4,9,8,49,8
BIN_000499,A,4,9,9,49,9
BIN_000500,B,0,0,0,0,0
BIN_000501,B,0,0,1,0,1
BIN_000502,B,0,0,2,0,2
BIN_000503,B,0,0,3,0,3
BIN_000504,B,0,0,4,0,4
BIN_000505,B,0,0,5,0,5
BIN_000506,B,0,0,6,0,6
BIN_000507,B,0,0,7,0,7
BIN_000508,B,0,0,8,0,8
BIN_000509,B,0,0,9,0,9
BIN_000510,B,0,1,0,1,0
BIN_000511,B,0,1,1,1,1
BIN_000512,B,0,1,2,1,2
BIN_000513,B,0,1,3,1,3
BIN_000514,B,0,1,4,1,4
BIN_000515,B,0,1,5,1,5
BIN_000516,B,0,1,6,1,6
BIN_000517,B,0,1,7,1,7
BIN_000518,B,0,1,8,1,8
BIN_000519,B,0,1,9,1,9
BIN_000520,B,0,2,0,2,0
BIN_000521,B,0,2,1,2,1
BIN_000522,B,0,2,2,2,2
BIN_000523,B,0,2,3,2,3
BIN_000524,B,0,2,4,2,4
BIN_000525,B,0,2,5,2,5
BIN_000526,B,0,2,6,2,6
BIN_000527,B,0,2,7,2,7
BIN_000528,B,0,2,8,2,8
BIN_000529,B,0,2,9,2,9
BIN_000530,B,0,3,0,3,0
BIN_000531,B,0,3,1,3,1
BIN_000532,B,0,3,2,3,2
BIN_000533,B,0,3,3,3,3
BIN_000534,B,0,3,4,3,4
BIN_000535,B,0,3,5,3,5
BIN_000536,B,0,3,6,3,6
BIN_000537,B,0,3,7,3,7
BIN_000538,B,0,3,8,3,8
BIN_000539,B,0,3,9,3,9
BIN_000540,B,0,4,0,4,0
BIN_000541,B,0,4,1,4,1
BIN_000542,B,0,4,2,4,2
BIN_000543,B,0,4,3,4,3
BIN_000544,B,0,4,4,4,4
BIN_000545,B,0,4,5,4,5
BIN_000546,B,0,4,6,4,6
BIN_000547,B,0,4,7,4,7
BIN_000548,B,0,4,8,4,8
BIN_000549,B,0,4,9,4,9
BIN_000550,B,0,5,0,5,0
BIN_000551,B,0,5,1,5,1
BIN_000552,B,0,5,2,5,2
BIN_000553,B,0,5,3,5,3
BIN_000554,B,0,5,4,5,4
BIN_000555,B,0,5,5,5,5
BIN_000556,B,0,5,6,5,6
BIN_000557,B,0,5,7,5,7
BIN_000558,B,0,5,8,5,8
BIN_000559,B,0,5,9,5,9
BIN_000560,B,0,6,0,6,0
BIN_000561,B,0,6,1,6,1
BIN_000562,B,0,6,2,6,2
BIN_000563,B,0,6,3,6,3
BIN_000564,B,0,6,4,6,4
BIN_000565,B,0,6,5,6,5
BIN_000566,B,0,6,6,6,6
BIN_000567,B,0,6,7,6,7
BIN_000568,B,0,6,8,6,8
BIN_000569,B,0,6,9,6,9
BIN_000570,B,0,7,0,7,0
BIN_000571,B,0,7,1,7,1
BIN_000572,B,0,7,2,7,2
BIN_000573,B,0,7,3,7,3
BIN_000574,B,0,7,4,7,4
BIN_000575,B,0,7,5,7,5
BIN_000576,B,0,7,6,7,6
BIN_000577,B,0,7,7,7,7
BIN_000578,B,0,7,8,7,8
BIN_000579,B,0,7,9,7,9
BIN_000580,B,0,8,0,8,0
BIN_000581,B,0,8,1,8,1
BIN_000582,B,0,8,2,8,2
BIN_000583,B,0,8,3,8,3
BIN_000584,B,0,8,4,8,4
BIN_000585,B,0,8,5,8,5
BIN_000586,B,0,8,6,8,6
BIN_000587,B,0,8,7,8,7
BIN_000588,B,0,8,8,8,8
BIN_000589,B,0,8,9,8,9
BIN_000590,B,0,9,0,9,0
BIN_000591,B,0,9,1,9,1
BIN_000592,B,0,9,2,9,2
BIN_000593,B,0,9,3,9,3
BIN_000594,B,0,9,4,9,4
BIN_000595,B,0,9,5,9,5
BIN_000596,B,0,9,6,9,6
BIN_000597,B,0,9,7,9,7
BIN_000598,B,0,9,8,9,8
BIN_000599,B,0,9,9,9,9
BIN_000600,B,1,0,0,10,0
BIN_000601,B,1,0,1,10,1
BIN_000602,B,1,0,2,10,2
BIN_000603,B,1,0,3,10,3
BIN_000604,B,1,0,4,10,4
BIN_000605,B,1,0,5,10,5
BIN_000606,B,1,0,6,10,6
BIN_000607,B,1,0,7,10,7
BIN_000608,B,1,0,8,10,8
BIN_000609,B,1,0,9,10,9
BIN_000610,B,1,1,0,11,0
BIN_000611,B,1,1,1,11,1
BIN_000612,B,1,1,2,11,2
BIN_000613,B,1,1,3,11,3
BIN_000614,B,1,1,4,11,4
BIN_000615,B,1,1,5,11,5
BIN_000616,B,1,1,6,11,6
BIN_000617,B,1,1,7,11,7
BIN_000618,B,1,1,8,11,8
BIN_000619,B,1,1,9,11,9
BIN_000620,B,1,2,0,12,0
BIN_000621,B,1,2,1,12,1
BIN_000622,B,1,2,2,12,2
BIN_000623,B,1,2,3,12,3
BIN_000624,B,1,2,4,12,4
BIN_000625,B,1,2,5,12,5
BIN_000626,B,1,2,6,12,6
BIN_000627,B,1,2,7,12,7
BIN_000628,B,1,2,8,12,8
BIN_000629,B,1,2,9,12,9
BIN_000630,B,1,3,0,13,0
BIN_000631,B,1,3,1,13,1
BIN_000632,B,1,3,2,13,2
BIN_000633,B,1,3,3,13,3
BIN_000634,B,1,3,4,13,4
BIN_000635,B,1,3,5,13,5
BIN_000636,B,1,3,6,13,6
BIN_000637,B,1,3,7,13,7
BIN_000638,B,1,3,8,13,8
BIN_000639,B,1,3,9,13,9
BIN_000640,B,1,4,0,14,0
BIN_000641,B,1,4,1,14,1
BIN_000642,B,1,4,2,14,2
BIN_000643,B,1,4,3,14,3
BIN_000644,B,1,4,4,14,4
BIN_000645,B,1,4,5,14,5
BIN_000646,B,1,4,6,14,6
BIN_000647,B,1,4,7,14,7
BIN_000648,B,1,4,8,14,8
BIN_000649,B,1,4,9,14,9
BIN_000650,B,1,5,0,15,0
BIN_000651,B,1,5,1,15,1
BIN_000652,B,1,5,2,15,2
BIN_000653,B,1,5,3,15,3
BIN_000654,B,1,5,4,15,4
BIN_000655,B,1,5,5,15,5
BIN_000656,B,1,5,6,15,6
BIN_000657,B,1,5,7,15,7
BIN_000658,B,1,5,8,15,8
BIN_000659,B,1,5,9,15,9
BIN_000660,B,1,6,0,16,0
BIN_000661,B,1,6,1,16,1
BIN_000662,B,1,6,2,16,2
BIN_000663,B,1,6,3,16,3
BIN_000664,B,1,6,4,16,4
BIN_000665,B,1,6,5,16,5
BIN_000666,B,1,6,6,16,6
BIN_000667,B,1,6,7,16,7
BIN_000668,B,1,6,8,16,8
BIN_000669,B,1,6,9,16,9
BIN_000670,B,1,7,0,17,0
BIN_000671,B,1,7,1,17,1
BIN_000672,B,1,7,2,17,2
BIN_000673,B,1,7,3,17,3
BIN_000674,B,1,7,4,17,4
BIN_000675,B,1,7,5,17,5
BIN_000676,B,1,7,6,17,6
BIN_000677,B,1,7,7,17,7
BIN_000678,B,1,7,8,17,8
BIN_000679,B,1,7,9,17,9
BIN_000680,B,1,8,0,18,0
BIN_000681,B,1,8,1,18,1
BIN_000682,B,1,8,2,18,2
BIN_000683,B,1,8,3,18,3
BIN_000684,B,1,8,4,18,4
BIN_000685,B,1,8,5,18,5
BIN_000686,B,1,8,6,18,6
BIN_000687,B,1,8,7,18,7
BIN_000688,B,1,8,8,18,8
BIN_000689,B,1,8,9,18,9
BIN_000690,B,1,9,0,19,0
BIN_000691,B,1,9,1,19,1
BIN_000692,B,1,9,2,19,2
BIN_000693,B,1,9,3,19,3
BIN_000694,B,1,9,4,19,4
BIN_000695,B,1,9,5,19,5
BIN_000696,B,1,9,6,19,6
BIN_000697,B,1,9,7,19,7
BIN_000698,B,1,9,8,19,8
BIN_000699,B,1,9,9,19,9
BIN_000700,B,2,0,0,20,0
BIN_000701,B,2,0,1,20,1
BIN_000702,B,2,0,2,20,2
BIN_000703,B,2,0,3,20,3
BIN_000704,B,2,0,4,20,4
BIN_000705,B,2,0,5,20,5
BIN_000706,B,2,0,6,20,6
BIN_000707,B,2,0,7,20,7
BIN_000708,B,2,0,8,20,8
BIN_000709,B,2,0,9,20,9
BIN_000710,B,2,1,0,21,0
BIN_000711,B,2,1,1,21,1
BIN_000712,B,2,1,2,21,2
BIN_000713,B,2,1,3,21,3
BIN_000714,B,2,1,4,21,4
BIN_000715,B,2,1,5,21,5
BIN_000716,B,2,1,6,21,6
BIN_000717,B,2,1,7,21,7
BIN_000718,B,2,1,8,21,8
BIN_000719,B,2,1,9,21,9
BIN_000720,B,2,2,0,22,0
BIN_000721,B,2,2,1,22,1
BIN_000722,B,2,2,2,22,2
BIN_000723,B,2,2,3,22,3
BIN_000724,B,2,2,4,22,4
BIN_000725,B,2,2,5,22,5
BIN_000726,B,2,2,6,22,6
BIN_000727,B,2,2,7,22,7
BIN_000728,B,2,2,8,22,8
BIN_000729,B,2,2,9,22,9
BIN_000730,B,2,3,0,23,0
BIN_000731,B,2,3,1,23,1
BIN_000732,B,2,3,2,23,2
