sku_1,sku_2,co_pick_frequency
SKU_00196,SKU_00216,1
SKU_00196,SKU_00330,1
SKU_00196,SKU_00495,1
SKU_00216,SKU_00330,1
SKU_00216,SKU_00495,1
SKU_00330,SKU_00495,2
SKU_00194,SKU_00229,1
SKU_00653,SKU_00944,1
SKU_00241,SKU_00471,3
SKU_00241,SKU_00569,1
SKU_00241,SKU_00893,2
SKU_00241,SKU_00936,2
SKU_00241,SKU_00984,1
SKU_00471,SKU_00569,2
SKU_00471,SKU_00893,1
SKU_00471,SKU_00936,1
SKU_00471,SKU_00984,3
SKU_00569,SKU_00893,2
SKU_00569,SKU_00936,2
SKU_00569,SKU_00984,1
SKU_00893,SKU_00936,1
SKU_00893,SKU_00984,1
SKU_00936,SKU_00984,2
SKU_00134,SKU_00251,1
SKU_00134,SKU_00454,1
SKU_00134,SKU_00520,1
SKU_00134,SKU_00697,1
SKU_00134,SKU_00891,1
SKU_00251,SKU_00454,1
SKU_00251,SKU_00520,1
SKU_00251,SKU_00697,1
SKU_00251,SKU_00891,2
SKU_00454,SKU_00520,3
SKU_00454,SKU_00697,1
SKU_00454,SKU_00891,2
SKU_00520,SKU_00697,1
SKU_00520,SKU_00891,1
SKU_00697,SKU_00891,1
SKU_00169,SKU_00180,1
SKU_00169,SKU_00208,2
SKU_00169,SKU_00807,2
SKU_00169,SKU_00971,1
SKU_00180,SKU_00208,2
SKU_00180,SKU_00807,1
SKU_00180,SKU_00971,2
SKU_00208,SKU_00807,2
SKU_00208,SKU_00971,1
SKU_00807,SKU_00971,4
SKU_00297,SKU_00595,1
SKU_00130,SKU_00194,2
SKU_00130,SKU_00275,2
SKU_00130,SKU_00307,2
SKU_00130,SKU_00318,3
SKU_00130,SKU_00694,1
SKU_00130,SKU_00870,1
SKU_00194,SKU_00275,1
SKU_00194,SKU_00307,2
SKU_00194,SKU_00318,2
SKU_00194,SKU_00694,2
SKU_00194,SKU_00870,1
SKU_00275,SKU_00307,1
SKU_00275,SKU_00318,4
SKU_00275,SKU_00694,2
SKU_00275,SKU_00870,5
SKU_00307,SKU_00318,2
SKU_00307,SKU_00694,1
SKU_00307,SKU_00870,1
SKU_00318,SKU_00694,1
SKU_00318,SKU_00870,1
SKU_00694,SKU_00870,2
SKU_00138,SKU_00339,1
SKU_00138,SKU_00598,2
SKU_00138,SKU_00764,1
SKU_00138,SKU_00828,1
SKU_00138,SKU_00872,2
SKU_00138,SKU_00901,1
SKU_00138,SKU_00967,1
SKU_00339,SKU_00598,1
SKU_00339,SKU_00764,1
SKU_00339,SKU_00828,1
SKU_00339,SKU_00872,1
SKU_00339,SKU_00901,5
SKU_00339,SKU_00967,1
SKU_00598,SKU_00764,1
SKU_00598,SKU_00828,3
SKU_00598,SKU_00872,1
SKU_00598,SKU_00901,2
SKU_00598,SKU_00967,1
SKU_00764,SKU_00828,2
SKU_00764,SKU_00872,1
SKU_00764,SKU_00901,2
SKU_00764,SKU_00967,4
SKU_00828,SKU_00872,1
SKU_00828,SKU_00901,1
SKU_00828,SKU_00967,1
SKU_00872,SKU_00901,2
SKU_00872,SKU_00967,2
SKU_00901,SKU_00967,2
SKU_00031,SKU_00035,2
SKU_00031,SKU_00101,1
SKU_00031,SKU_00333,1
SKU_00031,SKU_00338,2
SKU_00031,SKU_00634,2
SKU_00031,SKU_00689,1
SKU_00031,SKU_00702,1
SKU_00035,SKU_00101,1
SKU_00035,SKU_00333,3
SKU_00035,SKU_00338,1
SKU_00035,SKU_00634,3
SKU_00035,SKU_00689,1
SKU_00035,SKU_00702,2
SKU_00101,SKU_00333,3
SKU_00101,SKU_00338,2
SKU_00101,SKU_00634,1
SKU_00101,SKU_00689,1
SKU_00101,SKU_00702,1
SKU_00333,SKU_00338,2
SKU_00333,SKU_00634,2
SKU_00333,SKU_00689,1
SKU_00333,SKU_00702,1
SKU_00338,SKU_00634,1
SKU_00338,SKU_00689,4
SKU_00338,SKU_00702,1
SKU_00634,SKU_00689,1
SKU_00634,SKU_00702,1
SKU_00689,SKU_00702,4
SKU_00044,SKU_00050,1
SKU_00044,SKU_00347,2
SKU_00044,SKU_00473,2
SKU_00050,SKU_00347,1
SKU_00050,SKU_00473,1
SKU_00347,SKU_00473,1
SKU_00314,SKU_00352,1
SKU_00314,SKU_00482,1
SKU_00314,SKU_00484,1
SKU_00314,SKU_00857,1
SKU_00352,SKU_00482,3
SKU_00352,SKU_00484,3
SKU_00352,SKU_00857,1
SKU_00482,SKU_00484,3
SKU_00482,SKU_00857,2
SKU_00484,SKU_00857,2
SKU_00125,SKU_00152,2
SKU_00125,SKU_00570,3
SKU_00125,SKU_00711,2
SKU_00125,SKU_00785,1
SKU_00125,SKU_00873,1
SKU_00152,SKU_00570,1
SKU_00152,SKU_00711,2
SKU_00152,SKU_00785,1
SKU_00152,SKU_00873,1
SKU_00570,SKU_00711,3
SKU_00570,SKU_00785,2
SKU_00570,SKU_00873,3
SKU_00711,SKU_00785,1
SKU_00711,SKU_00873,1
SKU_00785,SKU_00873,1
SKU_00278,SKU_00319,1
SKU_00278,SKU_00340,1
SKU_00278,SKU_00397,1
SKU_00278,SKU_00704,1
SKU_00278,SKU_00835,1
SKU_00278,SKU_00901,2
SKU_00278,SKU_00929,1
SKU_00319,SKU_00340,5
SKU_00319,SKU_00397,1
SKU_00319,SKU_00704,3
SKU_00319,SKU_00835,1
SKU_00319,SKU_00901,2
SKU_00319,SKU_00929,1
SKU_00340,SKU_00397,2
SKU_00340,SKU_00704,1
SKU_00340,SKU_00835,1
SKU_00340,SKU_00901,1
SKU_00340,SKU_00929,2
SKU_00397,SKU_00704,1
SKU_00397,SKU_00835,2
SKU_00397,SKU_00901,2
SKU_00397,SKU_00929,3
SKU_00704,SKU_00835,1
SKU_00704,SKU_00901,1
SKU_00704,SKU_00929,2
SKU_00835,SKU_00901,2
SKU_00835,SKU_00929,1
SKU_00901,SKU_00929,1
SKU_00009,SKU_00250,2
SKU_00009,SKU_00310,1
SKU_00009,SKU_00360,1
SKU_00009,SKU_00471,2
SKU_00009,SKU_00518,1
SKU_00250,SKU_00310,1
SKU_00250,SKU_00360,3
SKU_00250,SKU_00471,2
SKU_00250,SKU_00518,1
SKU_00310,SKU_00360,1
SKU_00310,SKU_00471,1
SKU_00310,SKU_00518,2
SKU_00360,SKU_00471,1
SKU_00360,SKU_00518,2
SKU_00471,SKU_00518,2
SKU_00185,SKU_00215,2
SKU_00185,SKU_00278,1
SKU_00185,SKU_00492,2
SKU_00185,SKU_00566,1
SKU_00215,SKU_00278,1
SKU_00215,SKU_00492,2
SKU_00215,SKU_00566,1
SKU_00278,SKU_00492,2
SKU_00278,SKU_00566,1
SKU_00492,SKU_00566,2
SKU_00041,SKU_00137,2
SKU_00041,SKU_00278,4
SKU_00041,SKU_00418,1
SKU_00041,SKU_00579,2
SKU_00041,SKU_00697,1
SKU_00041,SKU_00803,1
SKU_00041,SKU_00846,2
SKU_00137,SKU_00278,1
SKU_00137,SKU_00418,3
SKU_00137,SKU_00579,1
SKU_00137,SKU_00697,3
SKU_00137,SKU_00803,2
SKU_00137,SKU_00846,1
SKU_00278,SKU_00418,2
SKU_00278,SKU_00579,2
SKU_00278,SKU_00697,3
SKU_00278,SKU_00803,1
SKU_00278,SKU_00846,2
SKU_00418,SKU_00579,1
SKU_00418,SKU_00697,1
SKU_00418,SKU_00803,1
SKU_00418,SKU_00846,2
SKU_00579,SKU_00697,2
SKU_00579,SKU_00803,1
SKU_00579,SKU_00846,1
SKU_00697,SKU_00803,1
SKU_00697,SKU_00846,2
SKU_00803,SKU_00846,3
SKU_00031,SKU_00148,1
SKU_00031,SKU_00150,1
SKU_00031,SKU_00186,2
SKU_00031,SKU_00746,1
SKU_00031,SKU_00872,3
SKU_00031,SKU_00926,1
SKU_00148,SKU_00150,2
SKU_00148,SKU_00186,2
SKU_00148,SKU_00746,1
SKU_00148,SKU_00872,1
SKU_00148,SKU_00926,2
SKU_00150,SKU_00186,1
SKU_00150,SKU_00746,2
SKU_00150,SKU_00872,2
SKU_00150,SKU_00926,1
SKU_00186,SKU_00746,1
SKU_00186,SKU_00872,2
SKU_00186,SKU_00926,1
SKU_00746,SKU_00872,1
SKU_00746,SKU_00926,1
SKU_00872,SKU_00926,1
SKU_00085,SKU_00251,2
SKU_00085,SKU_00533,1
SKU_00085,SKU_00621,3
SKU_00085,SKU_00711,1
SKU_00085,SKU_00841,1
SKU_00085,SKU_00847,1
SKU_00085,SKU_00947,1
SKU_00251,SKU_00533,1
SKU_00251,SKU_00621,2
SKU_00251,SKU_00711,2
SKU_00251,SKU_00841,1
SKU_00251,SKU_00847,1
SKU_00251,SKU_00947,2
SKU_00533,SKU_00621,3
SKU_00533,SKU_00711,1
SKU_00533,SKU_00841,1
SKU_00533,SKU_00847,2
SKU_00533,SKU_00947,1
SKU_00621,SKU_00711,1
SKU_00621,SKU_00841,1
SKU_00621,SKU_00847,1
SKU_00621,SKU_00947,2
SKU_00711,SKU_00841,2
SKU_00711,SKU_00847,3
SKU_00711,SKU_00947,2
SKU_00841,SKU_00847,1
SKU_00841,SKU_00947,2
SKU_00847,SKU_00947,3
SKU_00157,SKU_00399,1
SKU_00157,SKU_00410,2
SKU_00157,SKU_00595,2
SKU_00157,SKU_00616,1
SKU_00157,SKU_00679,1
SKU_00157,SKU_00912,2
SKU_00157,SKU_00913,1
SKU_00399,SKU_00410,1
SKU_00399,SKU_00595,1
SKU_00399,SKU_00616,2
SKU_00399,SKU_00679,3
SKU_00399,SKU_00912,2
SKU_00399,SKU_00913,1
SKU_00410,SKU_00595,2
SKU_00410,SKU_00616,3
SKU_00410,SKU_00679,2
SKU_00410,SKU_00912,3
SKU_00410,SKU_00913,1
SKU_00595,SKU_00616,2
SKU_00595,SKU_00679,1
SKU_00595,SKU_00912,3
SKU_00595,SKU_00913,1
SKU_00616,SKU_00679,1
SKU_00616,SKU_00912,1
SKU_00616,SKU_00913,1
SKU_00679,SKU_00912,1
SKU_00679,SKU_00913,1
SKU_00912,SKU_00913,3
SKU_00375,SKU_00453,2
SKU_00375,SKU_00706,2
SKU_00375,SKU_00889,1
SKU_00453,SKU_00706,1
SKU_00453,SKU_00889,1
SKU_00706,SKU_00889,1
SKU_00114,SKU_00659,2
SKU_00114,SKU_00782,1
SKU_00659,SKU_00782,2
SKU_00006,SKU_00116,2
SKU_00006,SKU_00443,2
SKU_00006,SKU_00636,1
SKU_00006,SKU_00915,1
SKU_00006,SKU_00983,3
SKU_00116,SKU_00443,2
SKU_00116,SKU_00636,1
SKU_00116,SKU_00915,3
SKU_00116,SKU_00983,2
SKU_00443,SKU_00636,1
SKU_00443,SKU_00915,1
SKU_00443,SKU_00983,3
SKU_00636,SKU_00915,2
SKU_00636,SKU_00983,1
SKU_00915,SKU_00983,3
SKU_00382,SKU_00394,2
SKU_00382,SKU_00446,2
SKU_00382,SKU_00589,1
SKU_00382,SKU_00885,1
SKU_00394,SKU_00446,1
SKU_00394,SKU_00589,1
SKU_00394,SKU_00885,2
SKU_00446,SKU_00589,2
SKU_00446,SKU_00885,1
SKU_00589,SKU_00885,1
SKU_00458,SKU_00550,1
SKU_00458,SKU_00562,1
SKU_00458,SKU_00699,2
SKU_00550,SKU_00562,1
SKU_00550,SKU_00699,2
SKU_00562,SKU_00699,1
SKU_00227,SKU_00403,2
SKU_00227,SKU_00445,1
SKU_00227,SKU_00745,1
SKU_00227,SKU_00890,4
SKU_00403,SKU_00445,1
SKU_00403,SKU_00745,2
SKU_00403,SKU_00890,1
SKU_00445,SKU_00745,2
SKU_00445,SKU_00890,2
SKU_00745,SKU_00890,1
SKU_00031,SKU_00107,1
SKU_00031,SKU_00330,1
SKU_00031,SKU_00371,1
SKU_00031,SKU_00784,2
SKU_00031,SKU_00951,1
SKU_00107,SKU_00330,6
SKU_00107,SKU_00371,2
SKU_00107,SKU_00784,2
SKU_00107,SKU_00951,1
SKU_00330,SKU_00371,1
SKU_00330,SKU_00784,1
SKU_00330,SKU_00951,1
SKU_00371,SKU_00784,1
SKU_00371,SKU_00951,4
SKU_00784,SKU_00951,1
SKU_00007,SKU_00029,2
SKU_00007,SKU_00425,1
SKU_00007,SKU_00478,1
SKU_00007,SKU_00986,1
SKU_00029,SKU_00425,1
SKU_00029,SKU_00478,1
SKU_00029,SKU_00986,2
SKU_00425,SKU_00478,2
SKU_00425,SKU_00986,1
SKU_00478,SKU_00986,3
SKU_00294,SKU_00727,2
SKU_00294,SKU_00738,2
SKU_00727,SKU_00738,1
SKU_00017,SKU_00084,1
SKU_00017,SKU_00287,2
SKU_00017,SKU_00543,2
SKU_00017,SKU_00580,1
SKU_00017,SKU_00793,1
SKU_00084,SKU_00287,1
SKU_00084,SKU_00543,2
SKU_00084,SKU_00580,1
SKU_00084,SKU_00793,2
SKU_00287,SKU_00543,2
SKU_00287,SKU_00580,1
SKU_00287,SKU_00793,1
SKU_00543,SKU_00580,4
SKU_00543,SKU_00793,2
SKU_00580,SKU_00793,3
SKU_00119,SKU_00152,1
SKU_00119,SKU_00228,2
SKU_00152,SKU_00228,3
SKU_00461,SKU_00626,2
SKU_00461,SKU_00767,1
SKU_00626,SKU_00767,1
SKU_00103,SKU_00117,1
SKU_00103,SKU_00272,2
SKU_00103,SKU_00329,2
SKU_00103,SKU_00833,1
SKU_00103,SKU_00884,2
SKU_00117,SKU_00272,1
SKU_00117,SKU_00329,1
SKU_00117,SKU_00833,1
SKU_00117,SKU_00884,2
SKU_00272,SKU_00329,2
SKU_00272,SKU_00833,1
SKU_00272,SKU_00884,2
SKU_00329,SKU_00833,1
SKU_00329,SKU_00884,1
SKU_00833,SKU_00884,2
SKU_00133,SKU_00294,2
SKU_00133,SKU_00318,1
SKU_00133,SKU_00337,1
SKU_00133,SKU_00816,1
SKU_00294,SKU_00318,1
SKU_00294,SKU_00337,1
SKU_00294,SKU_00816,3
SKU_00318,SKU_00337,1
SKU_00318,SKU_00816,1
SKU_00337,SKU_00816,1
SKU_00007,SKU_00018,3
SKU_00007,SKU_00047,2
SKU_00007,SKU_00141,1
SKU_00007,SKU_00156,3
SKU_00007,SKU_00580,2
SKU_00007,SKU_00612,1
SKU_00007,SKU_00787,2
SKU_00018,SKU_00047,1
SKU_00018,SKU_00141,1
SKU_00018,SKU_00156,1
SKU_00018,SKU_00580,1
SKU_00018,SKU_00612,2
SKU_00018,SKU_00787,1
SKU_00047,SKU_00141,2
SKU_00047,SKU_00156,2
SKU_00047,SKU_00580,1
SKU_00047,SKU_00612,1
SKU_00047,SKU_00787,1
SKU_00141,SKU_00156,1
SKU_00141,SKU_00580,3
SKU_00141,SKU_00612,2
SKU_00141,SKU_00787,2
SKU_00156,SKU_00580,1
SKU_00156,SKU_00612,2
SKU_00156,SKU_00787,1
SKU_00580,SKU_00612,1
SKU_00580,SKU_00787,1
SKU_00612,SKU_00787,1
SKU_00045,SKU_00071,3
SKU_00045,SKU_00231,1
SKU_00045,SKU_00687,1
SKU_00045,SKU_00843,4
SKU_00045,SKU_00973,1
SKU_00071,SKU_00231,1
SKU_00071,SKU_00687,2
SKU_00071,SKU_00843,3
SKU_00071,SKU_00973,2
SKU_00231,SKU_00687,1
SKU_00231,SKU_00843,1
SKU_00231,SKU_00973,1
SKU_00687,SKU_00843,1
SKU_00687,SKU_00973,1
SKU_00843,SKU_00973,1
SKU_00140,SKU_00848,3
SKU_00140,SKU_00969,1
SKU_00848,SKU_00969,1
SKU_00116,SKU_00330,2
SKU_00116,SKU_00389,3
SKU_00116,SKU_00737,1
SKU_00330,SKU_00389,1
SKU_00330,SKU_00737,2
SKU_00389,SKU_00737,2
SKU_00249,SKU_00372,2
SKU_00249,SKU_00413,1
SKU_00249,SKU_00487,2
SKU_00249,SKU_00530,2
SKU_00249,SKU_00667,1
SKU_00249,SKU_00916,1
SKU_00372,SKU_00413,2
SKU_00372,SKU_00487,2
SKU_00372,SKU_00530,5
SKU_00372,SKU_00667,2
SKU_00372,SKU_00916,1
SKU_00413,SKU_00487,2
SKU_00413,SKU_00530,2
SKU_00413,SKU_00667,1
SKU_00413,SKU_00916,1
SKU_00487,SKU_00530,3
SKU_00487,SKU_00667,2
SKU_00487,SKU_00916,2
SKU_00530,SKU_00667,2
SKU_00530,SKU_00916,2
SKU_00667,SKU_00916,4
SKU_00124,SKU_00363,1
SKU_00124,SKU_00765,1
SKU_00124,SKU_00828,2
SKU_00124,SKU_00829,2
SKU_00124,SKU_00938,3
SKU_00363,SKU_00765,2
SKU_00363,SKU_00828,3
SKU_00363,SKU_00829,1
SKU_00363,SKU_00938,2
SKU_00765,SKU_00828,2
SKU_00765,SKU_00829,1
SKU_00765,SKU_00938,1
SKU_00828,SKU_00829,4
SKU_00828,SKU_00938,2
SKU_00829,SKU_00938,1
SKU_00046,SKU_00922,1
SKU_00200,SKU_00288,2
SKU_00200,SKU_00774,1
SKU_00200,SKU_00895,1
SKU_00288,SKU_00774,1
SKU_00288,SKU_00895,1
SKU_00774,SKU_00895,3
SKU_00049,SKU_00273,1
SKU_00049,SKU_00342,1
SKU_00049,SKU_00498,1
SKU_00049,SKU_00712,2
SKU_00049,SKU_00746,1
SKU_00273,SKU_00342,1
SKU_00273,SKU_00498,2
SKU_00273,SKU_00712,3
SKU_00273,SKU_00746,1
SKU_00342,SKU_00498,1
SKU_00342,SKU_00712,1
SKU_00342,SKU_00746,1
SKU_00498,SKU_00712,1
SKU_00498,SKU_00746,1
SKU_00712,SKU_00746,1
SKU_00024,SKU_00040,1
SKU_00024,SKU_00062,1
SKU_00024,SKU_00071,1
SKU_00024,SKU_00129,2
SKU_00024,SKU_00583,1
SKU_00024,SKU_00738,1
SKU_00024,SKU_00793,2
SKU_00040,SKU_00062,1
SKU_00040,SKU_00071,1
SKU_00040,SKU_00129,1
SKU_00040,SKU_00583,1
SKU_00040,SKU_00738,2
SKU_00040,SKU_00793,1
SKU_00062,SKU_00071,1
SKU_00062,SKU_00129,2
SKU_00062,SKU_00583,1
SKU_00062,SKU_00738,3
SKU_00062,SKU_00793,1
SKU_00071,SKU_00129,2
SKU_00071,SKU_00583,1
SKU_00071,SKU_00738,1
SKU_00071,SKU_00793,1
SKU_00129,SKU_00583,1
SKU_00129,SKU_00738,2
SKU_00129,SKU_00793,2
SKU_00583,SKU_00738,2
SKU_00583,SKU_00793,1
SKU_00738,SKU_00793,1
SKU_00006,SKU_00226,2
SKU_00006,SKU_00382,2
SKU_00006,SKU_00486,1
SKU_00006,SKU_00816,2
SKU_00226,SKU_00382,2
SKU_00226,SKU_00486,2
SKU_00226,SKU_00816,1
SKU_00382,SKU_00486,1
SKU_00382,SKU_00816,2
SKU_00486,SKU_00816,1
SKU_00333,SKU_00487,2
SKU_00043,SKU_00065,2
SKU_00043,SKU_00167,2
SKU_00043,SKU_00470,1
SKU_00043,SKU_00495,1
SKU_00043,SKU_00537,1
SKU_00065,SKU_00167,3
SKU_00065,SKU_00470,2
SKU_00065,SKU_00495,2
SKU_00065,SKU_00537,2
SKU_00167,SKU_00470,1
SKU_00167,SKU_00495,2
SKU_00167,SKU_00537,1
SKU_00470,SKU_00495,1
SKU_00470,SKU_00537,1
SKU_00495,SKU_00537,1
SKU_00093,SKU_00352,1
SKU_00093,SKU_00399,1
SKU_00093,SKU_00664,2
SKU_00093,SKU_00731,1
SKU_00352,SKU_00399,1
SKU_00352,SKU_00664,1
SKU_00352,SKU_00731,1
SKU_00399,SKU_00664,1
SKU_00399,SKU_00731,1
SKU_00664,SKU_00731,2
SKU_00074,SKU_00610,3
SKU_00074,SKU_00646,2
SKU_00074,SKU_00755,1
SKU_00074,SKU_00916,1
SKU_00074,SKU_00943,3
SKU_00610,SKU_00646,1
SKU_00610,SKU_00755,1
SKU_00610,SKU_00916,1
SKU_00610,SKU_00943,1
SKU_00646,SKU_00755,2
SKU_00646,SKU_00916,1
SKU_00646,SKU_00943,1
SKU_00755,SKU_00916,2
SKU_00755,SKU_00943,1
SKU_00916,SKU_00943,1
SKU_00538,SKU_00650,2
SKU_00538,SKU_00830,1
SKU_00650,SKU_00830,2
SKU_00040,SKU_00384,2
SKU_00040,SKU_00453,3
SKU_00040,SKU_00536,3
SKU_00384,SKU_00453,2
SKU_00384,SKU_00536,2
SKU_00453,SKU_00536,1
SKU_00320,SKU_00384,1
SKU_00320,SKU_00385,3
SKU_00320,SKU_00479,4
SKU_00320,SKU_00587,1
SKU_00320,SKU_00713,1
SKU_00320,SKU_00743,2
SKU_00384,SKU_00385,2
SKU_00384,SKU_00479,1
SKU_00384,SKU_00587,1
SKU_00384,SKU_00713,1
SKU_00384,SKU_00743,1
SKU_00385,SKU_00479,1
SKU_00385,SKU_00587,1
SKU_00385,SKU_00713,1
SKU_00385,SKU_00743,1
SKU_00479,SKU_00587,2
SKU_00479,SKU_00713,3
SKU_00479,SKU_00743,1
SKU_00587,SKU_00713,1
SKU_00587,SKU_00743,1
SKU_00713,SKU_00743,2
SKU_00338,SKU_00339,2
SKU_00338,SKU_00343,3
SKU_00338,SKU_00426,3
SKU_00338,SKU_00541,3
SKU_00338,SKU_00665,2
SKU_00339,SKU_00343,2
SKU_00339,SKU_00426,2
SKU_00339,SKU_00541,1
SKU_00339,SKU_00665,1
SKU_00343,SKU_00426,2
SKU_00343,SKU_00541,2
SKU_00343,SKU_00665,1
SKU_00426,SKU_00541,4
SKU_00426,SKU_00665,1
SKU_00541,SKU_00665,2
SKU_00152,SKU_00578,3
SKU_00152,SKU_00799,2
SKU_00152,SKU_00994,1
SKU_00578,SKU_00799,2
SKU_00578,SKU_00994,2
SKU_00799,SKU_00994,2
SKU_00204,SKU_00264,2
SKU_00204,SKU_00437,3
SKU_00204,SKU_00855,1
SKU_00204,SKU_00967,2
SKU_00204,SKU_00993,2
SKU_00264,SKU_00437,2
SKU_00264,SKU_00855,1
SKU_00264,SKU_00967,1
SKU_00264,SKU_00993,3
SKU_00437,SKU_00855,1
SKU_00437,SKU_00967,1
SKU_00437,SKU_00993,1
SKU_00855,SKU_00967,1
SKU_00855,SKU_00993,2
SKU_00967,SKU_00993,2
SKU_00570,SKU_00970,2
SKU_00258,SKU_00340,1
SKU_00258,SKU_00423,3
SKU_00258,SKU_00687,1
SKU_00258,SKU_00725,2
SKU_00258,SKU_00731,1
SKU_00340,SKU_00423,4
SKU_00340,SKU_00687,2
SKU_00340,SKU_00725,2
SKU_00340,SKU_00731,1
SKU_00423,SKU_00687,2
SKU_00423,SKU_00725,1
SKU_00423,SKU_00731,1
SKU_00687,SKU_00725,1
SKU_00687,SKU_00731,2
SKU_00725,SKU_00731,2
SKU_00365,SKU_00711,2
SKU_00159,SKU_00463,1
SKU_00159,SKU_00504,1
SKU_00159,SKU_00506,2
SKU_00159,SKU_00705,1
SKU_00159,SKU_00840,2
SKU_00159,SKU_00842,3
SKU_00159,SKU_00942,2
SKU_00463,SKU_00504,1
SKU_00463,SKU_00506,1
SKU_00463,SKU_00705,1
SKU_00463,SKU_00840,1
SKU_00463,SKU_00842,2
SKU_00463,SKU_00942,1
SKU_00504,SKU_00506,2
SKU_00504,SKU_00705,1
SKU_00504,SKU_00840,2
SKU_00504,SKU_00842,1
SKU_00504,SKU_00942,1
SKU_00506,SKU_00705,1
SKU_00506,SKU_00840,1
SKU_00506,SKU_00842,1
SKU_00506,SKU_00942,2
SKU_00705,SKU_00840,2
SKU_00705,SKU_00842,1
SKU_00705,SKU_00942,1
SKU_00840,SKU_00842,2
SKU_00840,SKU_00942,1
SKU_00842,SKU_00942,1
SKU_00406,SKU_00580,2
SKU_00406,SKU_00693,3
SKU_00406,SKU_00738,1
SKU_00580,SKU_00693,2
SKU_00580,SKU_00738,1
SKU_00693,SKU_00738,3
SKU_00015,SKU_00109,2
SKU_00015,SKU_00220,1
SKU_00015,SKU_00265,1
SKU_00015,SKU_00354,2
SKU_00015,SKU_00562,1
SKU_00015,SKU_00629,2
SKU_00015,SKU_00728,1
SKU_00109,SKU_00220,1
SKU_00109,SKU_00265,1
SKU_00109,SKU_00354,2
SKU_00109,SKU_00562,2
SKU_00109,SKU_00629,1
SKU_00109,SKU_00728,1
SKU_00220,SKU_00265,1
SKU_00220,SKU_00354,3
SKU_00220,SKU_00562,2
SKU_00220,SKU_00629,2
SKU_00220,SKU_00728,1
SKU_00265,SKU_00354,2
SKU_00265,SKU_00562,1
SKU_00265,SKU_00629,2
SKU_00265,SKU_00728,2
SKU_00354,SKU_00562,2
SKU_00354,SKU_00629,2
SKU_00354,SKU_00728,1
SKU_00562,SKU_00629,1
SKU_00562,SKU_00728,1
SKU_00629,SKU_00728,2
SKU_00156,SKU_00233,2
SKU_00156,SKU_00368,1
SKU_00156,SKU_00592,1
SKU_00156,SKU_00597,2
SKU_00156,SKU_00996,1
SKU_00233,SKU_00368,2
SKU_00233,SKU_00592,1
SKU_00233,SKU_00597,1
SKU_00233,SKU_00996,2
SKU_00368,SKU_00592,1
SKU_00368,SKU_00597,1
SKU_00368,SKU_00996,1
SKU_00592,SKU_00597,2
SKU_00592,SKU_00996,2
SKU_00597,SKU_00996,4
SKU_00114,SKU_00146,3
SKU_00472,SKU_00630,1
SKU_00472,SKU_00673,2
SKU_00472,SKU_00748,2
SKU_00630,SKU_00673,1
SKU_00630,SKU_00748,3
SKU_00673,SKU_00748,3
SKU_00474,SKU_00619,2
SKU_00474,SKU_00735,1
SKU_00474,SKU_00779,2
SKU_00474,SKU_00799,1
SKU_00474,SKU_00892,2
