sku_id,unit_cost,annual_demand,weight_kg_x,volume_cu_m_x,pick_frequency_x,avg_daily_demand,demand_std,pick_frequency_y,volume_cu_m_y,weight_kg_y,abc_class,abc_priority
SKU_00447,0.9006616862454366,1.6978900449486976,26.93,0.199,138,138.75342465753425,39.471989241335066,138,0.199,26.93,A,1.226586632396466
SKU_00308,1.043807310303633,1.515959757862044,5.04,0.11,145,127.69589041095892,37.32472753099053,145,0.11,5.04,A,1.226586632396466
SKU_00197,1.3926815486483675,1.0837705274787728,29.35,0.047,136,111.65753424657534,33.458609487670174,136,0.047,29.35,A,1.226586632396466
SKU_00937,1.4515303052056259,1.0277382347585362,4.84,0.187,142,109.33698630136986,32.84100687632632,142,0.187,4.84,A,1.226586632396466
SKU_00869,1.560445453945558,0.8589426995813647,6.1,0.003,147,103.11232876712327,28.721684313106117,147,0.003,6.1,A,1.226586632396466
SKU_00769,1.1330140035572913,1.255989482036607,13.38,0.079,147,120.5945205479452,35.74067115050759,147,0.079,13.38,A,1.226586632396466
SKU_00705,1.7105063255427972,0.7388435584515808,27.31,0.046,132,98.94246575342466,29.368527661091235,132,0.046,27.31,A,1.226586632396466
SKU_00627,0.8804691634314301,1.546141740973194,14.24,0.004,140,129.91232876712328,36.44283475152257,140,0.004,14.24,A,1.226586632396466
SKU_00178,1.5282895528890066,0.8593618937912417,18.0,0.097,140,102.67671232876712,29.37189787477004,140,0.097,18.0,A,1.226586632396466
SKU_00127,1.2681379404701976,1.0819540192359722,26.69,0.128,145,109.6027397260274,33.15379568461889,145,0.128,26.69,A,1.226586632396466
SKU_00384,0.8380095435417043,1.5617217924402922,12.18,0.039,134,131.5013698630137,39.91671443800096,134,0.039,12.18,A,1.226586632396466
SKU_00419,0.8972732149513054,1.460556256456623,16.78,0.043,127,127.63287671232877,38.048725465630696,127,0.043,16.78,A,1.226586632396466
SKU_00996,1.4618340240388004,0.8791338873571107,12.53,0.13,123,102.92328767123288,32.195055079609766,123,0.13,12.53,A,1.226586632396466
SKU_00120,1.0857137103902352,1.2238512592793642,7.67,0.135,134,116.1945205479452,35.62268650830455,134,0.135,7.67,A,1.226586632396466
SKU_00991,0.6997737452362287,1.6773495286647204,23.15,0.142,119,135.0,37.61539023348795,119,0.142,23.15,A,1.226586632396466
SKU_00070,0.9652500982601009,1.3272524977157112,5.3,0.013,143,121.17260273972605,36.97304208115158,143,0.013,5.3,A,1.226586632396466
SKU_00905,1.3774680040624723,0.9070801680155829,6.41,0.07,151,105.32328767123288,31.31854469653367,151,0.07,6.41,A,1.226586632396466
SKU_00431,0.9285301338277809,1.3637922596766634,5.95,0.045,147,122.24383561643836,34.57613428610412,147,0.045,5.95,A,1.226586632396466
SKU_00795,1.3071399365904017,0.9659769545033129,29.99,0.127,128,104.72602739726028,29.91033315603056,128,0.127,29.99,A,1.226586632396466
SKU_00271,1.0949109896171627,1.1683778921722971,21.12,0.077,146,116.54520547945204,33.224779913508385,146,0.077,21.12,A,1.226586632396466
SKU_00403,1.1508553422080234,1.09278320299113,29.34,0.019,121,113.52876712328766,33.08908006623461,121,0.019,29.34,A,1.226586632396466
SKU_00378,1.109778771826106,1.1296024277586671,12.6,0.091,122,115.46301369863014,35.10552188355626,122,0.091,12.6,A,1.226586632396466
SKU_00932,1.6914893948104281,0.6301325266901242,16.94,0.148,134,93.83561643835615,27.844354340578334,134,0.148,16.94,A,1.226586632396466
SKU_00035,1.0890330292089763,1.1389644317792553,14.4,0.08,137,115.63835616438357,33.41490187955145,137,0.08,14.4,A,1.226586632396466
SKU_00891,1.2509189740979796,0.9736621816843927,19.0,0.096,132,107.66575342465754,32.27394851147672,132,0.096,19.0,A,1.226586632396466
SKU_00737,1.117108934217492,1.0810457651145717,15.57,0.15,121,112.62191780821918,32.21228626505415,121,0.15,15.57,A,1.226586632396466
SKU_00267,0.7264666007369359,1.5393647679135145,15.35,0.045,139,129.5150684931507,39.03278303474668,139,0.045,15.35,A,1.226586632396466
SKU_00139,1.6482690976914076,0.6059589939205459,1.16,0.166,129,93.10684931506847,25.122602278937837,129,0.166,1.16,A,1.226586632396466
SKU_00509,0.8059919474359338,1.3984456476931688,9.52,0.003,132,124.91780821917808,37.31156076354172,132,0.003,9.52,A,1.226586632396466
SKU_00367,1.4208957586076638,0.7657418535853602,29.39,0.157,135,100.92602739726028,28.746571832865644,135,0.157,29.39,A,1.226586632396466
SKU_00207,0.5930023232334001,1.6757426175268584,3.33,0.168,127,136.3890410958904,39.95143879749591,127,0.168,3.33,A,1.226586632396466
SKU_00002,0.8274983672823583,1.3371734273494686,23.61,0.159,147,120.2958904109589,36.110181048737125,147,0.159,23.61,A,1.226586632396466
SKU_00780,0.6972151036467826,1.4905985081644806,16.01,0.124,136,125.61917808219178,36.6084894433326,136,0.124,16.01,A,1.226586632396466
SKU_00748,1.4246991447541377,0.7097794265667697,16.83,0.115,138,97.08767123287672,28.69607673727184,138,0.115,16.83,A,1.226586632396466
SKU_00471,1.641768765004707,0.5448265049801382,20.64,0.099,146,91.56712328767124,26.531735376458258,146,0.099,20.64,A,1.226586632396466
SKU_00352,0.576544034090477,1.5933709552860118,16.9,0.039,125,134.54246575342466,39.742875226460335,125,0.039,16.9,A,1.226586632396466
SKU_00614,1.312118914818513,0.7581963578075727,8.22,0.094,122,99.82465753424655,28.629346835472862,122,0.094,8.22,A,1.226586632396466
SKU_00464,1.615421671880952,0.5233777345747608,3.76,0.044,141,90.16438356164385,26.25268887255724,141,0.044,3.76,A,1.226586632396466
SKU_00558,0.9066779516044043,1.1468592560652735,13.55,0.107,138,113.87671232876713,34.2208989248888,138,0.107,13.55,A,1.226586632396466
SKU_00745,1.4011181506460004,0.6619214209391363,15.98,0.135,141,96.0054794520548,27.429830008381867,141,0.135,15.98,A,1.226586632396466
SKU_00759,1.0212636033263518,0.9986741028737253,12.48,0.004,147,109.18904109589042,32.05301052893612,147,0.004,12.48,A,1.226586632396466
SKU_00798,0.7064815353491005,1.3505177763638891,6.3,0.195,128,123.02191780821916,37.03962181534786,128,0.195,6.3,A,1.226586632396466
SKU_00645,1.3701378416710863,0.6688381254021082,24.52,0.146,130,96.08219178082192,26.977378305495947,130,0.146,24.52,A,1.226586632396466
SKU_00226,1.6524873986902242,0.4614068572145989,24.37,0.093,131,89.1972602739726,26.11354103602792,131,0.093,24.37,A,1.226586632396466
SKU_00680,1.1186994411514717,0.8748720795566938,27.02,0.171,140,103.04109589041096,32.02018523575391,140,0.171,27.02,A,1.226586632396466
SKU_00574,1.2737392909768226,0.7293418230277002,9.98,0.054,111,98.36712328767123,29.68362507294253,111,0.054,9.98,A,1.226586632396466
SKU_00450,0.9820541497799762,0.9921765926206305,17.98,0.134,140,108.28219178082192,32.80042608300774,140,0.134,17.98,A,1.226586632396466
SKU_00238,0.5313183151851337,1.5478185178127022,11.32,0.186,135,129.56712328767122,37.71340761525721,135,0.186,11.32,A,1.226586632396466
SKU_00094,0.9608934923105037,1.00279617927085,6.05,0.068,135,109.1041095890411,30.77202792870666,135,0.068,6.05,A,1.226586632396466
SKU_00707,1.0940811599124776,0.8655799412377518,6.56,0.165,120,103.74246575342464,29.42992196880873,120,0.165,6.56,A,1.226586632396466
SKU_00524,1.1914478452622075,0.750161802118262,22.8,0.111,134,98.4958904109589,29.570238780341604,134,0.111,22.8,A,1.226586632396466
SKU_00435,0.7212801650826535,1.2378243996086002,22.75,0.044,123,119.11232876712327,32.78603606370762,123,0.044,22.75,A,1.226586632396466
SKU_00170,0.6411324461051413,1.3384310099791,3.51,0.179,139,122.82739726027395,35.438157169804285,139,0.179,3.51,A,1.226586632396466
SKU_00073,1.113167243120237,0.812551873688301,21.76,0.198,136,102.71232876712328,29.465047020759503,136,0.198,21.76,A,1.226586632396466
SKU_00137,0.7282645650970871,1.1430166424747337,24.08,0.004,124,114.62739726027397,32.96798838748018,124,0.004,24.08,A,1.226586632396466
SKU_00573,0.4512397486830125,1.5077156050677947,26.33,0.05,146,128.41095890410958,38.040693803701714,146,0.05,26.33,A,1.226586632396466
SKU_00950,0.3774540574414203,1.6153087856029125,14.06,0.075,137,133.1917808219178,38.20852902823244,137,0.075,14.06,A,1.226586632396466
SKU_00719,0.8236258286604939,1.005940135844928,11.59,0.15,145,108.81643835616438,31.220093442086156,145,0.15,11.59,A,1.226586632396466
SKU_00727,1.0440839202051948,0.75714837228288,0.92,0.126,141,98.97534246575344,29.16393499892301,141,0.126,0.92,A,1.226586632396466
SKU_00485,1.406512043726454,0.4475734482886552,19.58,0.183,146,88.3945205479452,25.78595265854074,146,0.183,19.58,A,1.226586632396466
SKU_00513,1.2863941939732717,0.533508261313457,19.69,0.104,135,90.32054794520548,26.28152193658744,135,0.104,19.69,A,1.226586632396466
SKU_00357,0.32697275040640417,1.6185924735802828,7.18,0.121,129,132.15068493150685,37.47463289737893,129,0.121,7.18,A,1.226586632396466
SKU_00113,1.0880648945535099,0.692802061066748,3.15,0.11,146,97.83835616438355,28.758632866034308,146,0.11,3.15,A,1.226586632396466
SKU_00752,0.4705332893169434,1.3886644494627036,6.93,0.178,142,124.31506849315068,33.385805330880444,142,0.178,6.93,A,1.226586632396466
SKU_00803,0.39861471491089284,1.4949301816665437,23.8,0.083,148,127.52054794520548,36.4169647057556,148,0.083,23.8,A,1.226586632396466
SKU_00813,1.4739357072321262,0.3860916308400165,10.67,0.091,148,84.94520547945206,24.672854244387807,148,0.091,10.67,A,1.226586632396466
SKU_00118,1.37712224168552,0.44708438837713194,8.45,0.097,134,87.01643835616439,26.223987706599623,134,0.097,8.45,A,1.226586632396466
SKU_00961,0.3864438792421767,1.4668441696047794,28.3,0.051,132,125.76986301369864,36.46376601674651,132,0.051,28.3,A,1.226586632396466
SKU_00252,1.235290514659742,0.5294560506179785,3.83,0.039,129,90.36164383561643,26.084091769586827,129,0.039,3.83,A,1.226586632396466
SKU_00480,0.4762729447743492,1.3324225596375285,27.55,0.086,121,119.2109589041096,37.43722790777437,121,0.086,27.55,A,1.226586632396466
SKU_00165,1.1810749739536426,0.5712357402023943,14.4,0.103,122,92.52054794520548,26.45840068356169,122,0.103,14.4,A,1.226586632396466
SKU_00820,1.0700160984766072,0.6582185387518887,14.06,0.117,135,96.28493150684932,26.818189616279984,135,0.117,14.06,A,1.226586632396466
SKU_00052,1.537763442017496,0.3061652681567863,5.83,0.129,148,82.26027397260275,24.3991687151564,148,0.129,5.83,A,1.226586632396466
SKU_00709,0.6546171788062757,1.0771332858223857,24.52,0.056,131,112.05205479452054,32.38657345254339,131,0.056,24.52,A,1.226586632396466
SKU_00398,0.8920867792970228,0.8000459130936347,22.5,0.185,130,99.78082191780824,27.787185052983485,130,0.185,22.5,A,1.226586632396466
SKU_00541,0.39681675055074167,1.3879657924462419,14.42,0.07,119,123.30958904109588,36.15823042652807,119,0.07,14.42,A,1.226586632396466
SKU_00414,0.4846403942965915,1.2522865998493597,4.93,0.001,146,120.53424657534246,34.78169050347747,146,0.001,4.93,A,1.226586632396466
SKU_00697,0.3114134434435567,1.5070868137529791,24.89,0.089,129,125.2027397260274,39.24909872487569,129,0.089,24.89,A,1.226586632396466
SKU_00872,0.526270184481632,1.183399018026226,0.17,0.126,138,116.25479452054796,34.06697121514615,138,0.126,0.17,A,1.226586632396466
SKU_00508,1.5730312044666166,0.22512105424721718,3.28,0.143,139,78.59726027397261,22.584991932811224,139,0.143,3.28,A,1.226586632396466
SKU_00947,1.4026395051045897,0.32509887330290116,17.85,0.121,141,82.43561643835616,22.819389828831287,141,0.121,17.85,A,1.226586632396466
SKU_00221,0.26715585919367973,1.5351029601130974,17.36,0.008,139,129.1917808219178,38.812474463988565,139,0.008,17.36,A,1.226586632396466
SKU_00463,0.31874360583494266,1.4447666078845862,14.61,0.086,134,126.95616438356164,37.19658566653168,134,0.086,14.61,A,1.226586632396466
SKU_00182,1.4870746775563086,0.25907578524726077,11.72,0.012,116,78.58082191780822,22.909453022369014,116,0.012,11.72,A,1.226586632396466
SKU_00355,0.5208762914011784,1.136588997923285,23.18,0.087,151,115.46849315068494,34.19332913506012,151,0.087,23.18,A,1.226586632396466
SKU_00200,0.5195623943687603,1.1367985950282236,5.5,0.136,132,114.48493150684932,32.54106311724064,132,0.136,5.5,A,1.226586632396466
SKU_00839,0.48609259627979085,1.1796262701373321,13.36,0.16,139,115.47945205479452,31.350863418119257,139,0.16,13.36,A,1.226586632396466
SKU_00771,1.2192471403691614,0.40970623799642547,16.41,0.128,138,85.61643835616438,24.833417608879085,138,0.128,16.41,A,1.226586632396466
SKU_00860,0.9765219517487415,0.6008587977003748,15.86,0.096,142,92.43287671232876,26.21747621357716,142,0.096,15.86,A,1.226586632396466
SKU_00886,0.5562132063256898,1.0414319122811875,8.48,0.021,114,111.43561643835616,34.53401480473705,114,0.021,8.48,A,1.226586632396466
SKU_00065,0.17947052039861064,1.5932312238827193,18.58,0.18,125,131.3041095890411,38.25454235169212,125,0.18,18.58,A,1.226586632396466
SKU_00473,1.3722815684081897,0.28373837792836243,0.98,0.158,124,80.28493150684932,24.524173268726617,124,0.158,0.98,A,1.226586632396466
SKU_00325,0.8476908900963648,0.7076135898157382,1.59,0.109,141,98.36438356164383,27.025249538158388,141,0.109,1.59,A,1.226586632396466
SKU_00568,1.4168157625596285,0.24929458701679555,6.87,0.117,154,79.98904109589041,24.417047062754968,154,0.117,6.87,A,1.226586632396466
SKU_00295,0.10948821530349241,1.7015230614342989,9.05,0.026,116,136.93424657534246,40.84083356871384,116,0.026,9.05,A,1.226586632396466
SKU_00401,1.4112835645283939,0.2462903618460098,3.45,0.139,127,77.3917808219178,23.42717118736145,127,0.139,3.45,A,1.226586632396466
SKU_00774,1.050999167744238,0.5096840570521094,4.63,0.029,136,91.22465753424656,25.25374404198098,136,0.029,4.63,A,1.226586632396466
SKU_00807,1.4901173864734878,0.19053753193235792,25.59,0.091,140,77.4958904109589,21.718557153345227,140,0.091,25.59,A,1.226586632396466
SKU_00914,0.2114881165043811,1.4906683738661268,16.51,0.188,153,127.7068493150685,38.77327846968413,153,0.188,16.51,A,1.226586632396466
SKU_00647,0.646457186710205,0.8840943521739896,24.56,0.142,131,105.14520547945206,31.56030787663676,131,0.142,24.56,A,1.226586632396466
SKU_00388,0.8911877971169473,0.6320887663362174,18.43,0.016,129,94.6,28.02969383107382,129,0.016,18.43,A,1.226586632396466
SKU_00903,0.3176371662286959,1.3153753284358605,21.33,0.073,119,122.04931506849314,35.15652255025063,119,0.073,21.33,A,1.226586632396466
SKU_00247,1.6307043689422378,0.08531978525321043,20.38,0.042,132,73.2958904109589,21.478972840284317,132,0.042,20.38,A,1.226586632396466
SKU_00154,1.6957768482846352,0.04808136627579634,15.49,0.153,149,70.72328767123288,19.999248066551356,149,0.153,15.49,A,1.226586632396466
SKU_00549,0.9655267081616628,0.5458744905048308,24.8,0.06,123,91.9890410958904,26.48397588115467,123,0.06,24.8,A,1.226586632396466
SKU_00532,1.7333957948970307,0.025514744644080108,0.11,0.157,128,69.9041095890411,20.92107380654077,128,0.157,0.11,A,1.226586632396466
SKU_00949,0.36680457623129387,1.211764492894575,17.54,0.112,141,116.5972602739726,35.071974553290886,141,0.112,17.54,A,1.226586632396466
SKU_00396,1.260185405800298,0.298689638080645,25.87,0.119,144,80.93424657534247,24.52047932581266,144,0.119,25.87,A,1.226586632396466
SKU_00020,0.41624859613545334,1.1092016428779825,28.72,0.021,146,114.02191780821916,34.91755693095092,146,0.021,28.72,A,1.226586632396466
SKU_00548,0.10284957766601098,1.5985410172078292,29.19,0.004,131,133.44931506849315,39.899816585299845,131,0.004,29.19,A,1.226586632396466
SKU_00489,1.3692388594910108,0.2023448355105624,26.41,0.083,152,76.89041095890411,21.76697370011318,152,0.083,26.41,A,1.226586632396466
SKU_00107,0.9081301535876033,0.5190460610726976,24.34,0.071,146,91.213698630137,27.57653343782332,146,0.071,24.34,A,1.226586632396466
SKU_00609,0.6851134204534568,0.7309487341655624,4.04,0.143,133,96.9808219178082,27.316162031182284,133,0.143,4.04,A,1.226586632396466
SKU_00462,0.8755593376787095,0.540914025687952,29.65,0.072,133,91.06575342465752,27.47818424977,133,0.072,29.65,A,1.226586632396466
SKU_00966,0.7831716305570909,0.6262200473979381,3.57,0.125,133,95.09041095890412,26.514562473899087,133,0.125,3.57,A,1.226586632396466
SKU_00358,1.5402529311315516,0.06296276072643274,22.0,0.05,125,71.42465753424658,22.525637291553743,125,0.05,22.0,A,1.226586632396466
SKU_00970,0.5936246955119139,0.8193288467479805,25.34,0.047,132,102.94794520547946,30.72574586040683,132,0.047,25.34,A,1.226586632396466
SKU_00791,0.32849410486499386,1.152099183688737,24.94,0.073,120,114.786301369863,34.13609363642942,120,0.073,24.94,A,1.226586632396466
SKU_00755,1.0397964667309878,0.3860916308400165,4.16,0.004,118,82.76986301369863,25.36040591489019,118,0.004,4.16,A,1.226586632396466
SKU_00631,1.3861812159616667,0.13527376193022933,14.28,0.096,128,75.06575342465753,21.884086616236587,128,0.096,14.28,A,1.226586632396466
SKU_00421,1.0247212270958734,0.3721883562124267,2.92,0.002,126,85.36438356164383,24.6235691270736,126,0.002,2.92,A,1.226586632396466
SKU_00534,0.9541165497222411,0.4262644092865702,11.75,0.075,121,86.08767123287672,25.243495219177248,121,0.075,11.75,A,1.226586632396466
SKU_00720,1.5338217509202412,0.03068480656589745,13.56,0.031,116,70.5095890410959,20.69514571461942,116,0.031,13.56,A,1.226586632396466
SKU_00467,1.2951074058724663,0.17307110652081287,29.91,0.075,131,78.2986301369863,22.37311286873158,131,0.075,29.91,A,1.226586632396466
SKU_00233,0.0077649240041655935,1.634172525047381,9.4,0.165,146,133.26027397260273,42.24946433019559,146,0.165,9.4,A,1.226586632396466
SKU_00688,0.955845361607002,0.4177407936857362,18.0,0.038,131,86.92328767123287,26.28760268825571,131,0.038,18.0,A,1.226586632396466
SKU_00336,1.2500891443932944,0.18187418492823157,0.5,0.136,127,76.91232876712328,22.401137782656253,127,0.136,0.5,A,1.226586632396466
SKU_00510,0.42157333674051656,0.9445980497995817,0.21,0.082,114,105.63013698630137,30.93786170809312,114,0.082,0.21,A,1.226586632396466
SKU_00781,0.17960882534939138,1.2789752978782005,5.13,0.127,126,121.04109589041096,33.26493647665243,126,0.127,5.13,A,1.226586632396466
SKU_00824,0.16135257184631716,1.3033584277527175,15.44,0.148,113,120.5972602739726,35.68666283867398,113,0.148,15.44,A,1.226586632396466
SKU_00420,1.0314290172087452,0.300226683516861,16.62,0.188,156,81.3945205479452,23.82636301009294,156,0.188,16.62,A,1.226586632396466
SKU_00847,1.7341564721263256,-0.12679248494459291,19.24,0.188,158,63.87123287671233,18.355385767197923,158,0.188,19.24,A,1.226586632396466
SKU_00551,1.2388864433800444,0.14016436104546195,25.2,0.083,135,76.46849315068494,21.57626950355878,135,0.083,25.2,A,1.226586632396466
SKU_00662,0.3954337010429331,0.9111323787110613,20.27,0.086,134,107.2986301369863,31.78552997357033,134,0.086,20.27,A,1.226586632396466
SKU_00119,0.16799120948379898,1.237335339697077,27.92,0.18,141,118.27397260273972,35.460882438976306,141,0.18,27.92,A,1.226586632396466
SKU_00953,1.4518760675825781,0.007559259321011776,2.57,0.188,133,70.58356164383562,21.8565943835968,133,0.188,2.57,A,1.226586632396466
SKU_00789,1.5644562975182033,-0.06202697951858378,20.35,0.19,136,67.41643835616438,19.63126440718729,136,0.19,20.35,A,1.226586632396466
SKU_00438,0.7393289611595562,0.5151335817805115,19.32,0.149,136,89.3013698630137,27.104136241817844,136,0.149,19.32,A,1.226586632396466
SKU_00204,0.3976465802554269,0.8745227510484629,8.15,0.113,149,103.18082191780822,31.58261735674886,149,0.113,8.15,A,1.226586632396466
SKU_00494,-0.09091565837798238,1.6749740948087504,21.6,0.107,157,136.16164383561645,40.141147362477,157,0.107,21.6,A,1.226586632396466
SKU_00321,0.7678889334958053,0.47146751825164884,13.11,0.112,125,88.83013698630137,26.8120989425755,125,0.112,13.11,A,1.226586632396466
SKU_00453,1.4243533823771857,-0.013470316874488488,22.01,0.131,144,68.2986301369863,20.581281458402167,144,0.131,22.01,A,1.226586632396466
SKU_00337,0.730477444309581,0.47950207394095956,8.55,0.125,138,90.4,28.226789550915036,138,0.125,8.55,A,1.226586632396466
SKU_00700,0.14489428270339413,1.1739671483039915,20.88,0.087,123,114.96712328767124,35.343821657245186,123,0.087,20.88,A,1.226586632396466
SKU_00104,1.4285025309006116,-0.037224655434189784,25.95,0.084,118,67.5068493150685,21.06265071532552,118,0.084,25.95,A,1.226586632396466
SKU_00716,1.1651007521384527,0.12046223318123911,25.87,0.197,141,72.88767123287671,21.345045653676856,141,0.197,25.87,A,1.226586632396466
SKU_00661,1.6987504047264237,-0.17975068679239756,7.82,0.117,141,61.97808219178082,18.08343184522557,141,0.117,7.82,A,1.226586632396466
SKU_00894,0.6086999351470282,0.5626422588999141,0.28,0.063,130,90.57534246575342,27.457118318928664,130,0.063,0.28,A,1.226586632396466
SKU_00176,0.686911384813608,0.4751005347372502,1.41,0.099,141,87.81095890410958,24.96249693437854,141,0.099,1.41,A,1.226586632396466
SKU_00187,0.22227590266528865,1.0183063650363018,14.93,0.078,127,109.24931506849316,31.00603948297317,127,0.078,14.93,A,1.226586632396466
SKU_00815,0.09780144696250925,1.1986996066867395,1.24,0.137,118,116.09041095890412,35.04095000179718,118,0.137,1.24,A,1.226586632396466
SKU_00831,-0.12943358717045353,1.598820480014414,16.93,0.124,118,132.77534246575345,36.007919538020694,118,0.124,16.93,A,1.226586632396466
SKU_00725,1.2034803759801425,0.05094586004328973,0.47,0.178,126,71.86027397260274,21.39116806893217,126,0.178,0.47,A,1.226586632396466
SKU_00359,0.29170498795728356,0.8854916662069132,16.49,0.072,119,104.84383561643835,30.07555041059724,119,0.072,16.49,A,1.226586632396466
SKU_00595,-0.055786200879642325,1.4275796452796259,0.85,0.196,121,126.69315068493152,37.18802953734024,121,0.196,0.85,A,1.226586632396466
