order_id,order_priority
ORD_0000415,high
ORD_0000416,high
ORD_0000417,low
ORD_0000418,low
ORD_0000419,medium
ORD_0000420,low
ORD_0000421,high
ORD_0000422,low
ORD_0000423,low
ORD_0000424,high
ORD_0000425,medium
ORD_0000426,medium
ORD_0000427,medium
ORD_0000428,low
ORD_0000429,low
ORD_0000430,low
ORD_0000431,low
ORD_0000432,low
ORD_0000433,medium
ORD_0000434,high
ORD_0000435,low
ORD_0000436,low
ORD_0000437,low
ORD_0000438,low
ORD_0000439,low
ORD_0000440,high
ORD_0000441,low
ORD_0000442,high
ORD_0000443,high
ORD_0000444,high
ORD_0000445,low
ORD_0000446,low
ORD_0000447,medium
ORD_0000448,medium
ORD_0000449,medium
ORD_0000450,medium
ORD_0000451,low
ORD_0000452,medium
ORD_0000453,low
ORD_0000454,low
ORD_0000455,low
ORD_0000456,high
ORD_0000457,low
ORD_0000458,low
ORD_0000459,low
ORD_0000460,low
ORD_0000461,low
ORD_0000462,high
ORD_0000463,low
ORD_0000464,low
ORD_0000465,high
ORD_0000466,medium
ORD_0000467,high
ORD_0000468,low
ORD_0000469,low
ORD_0000470,high
ORD_0000471,high
ORD_0000472,low
ORD_0000473,low
ORD_0000474,low
ORD_0000475,low
ORD_0000476,high
ORD_0000477,low
ORD_0000478,high
ORD_0000479,low
ORD_0000480,medium
ORD_0000481,low
ORD_0000482,low
ORD_0000483,medium
ORD_0000484,low
ORD_0000485,low
ORD_0000486,medium
ORD_0000487,low
ORD_0000488,low
ORD_0000489,low
ORD_0000490,low
ORD_0000491,low
ORD_0000492,medium
ORD_0000493,medium
ORD_0000494,low
ORD_0000495,low
ORD_0000496,low
ORD_0000497,low
ORD_0000498,medium
ORD_0000499,medium
ORD_0000500,medium
ORD_0000501,low
ORD_0000502,high
ORD_0000503,low
ORD_0000504,low
ORD_0000505,medium
ORD_0000506,low
ORD_0000507,medium
ORD_0000508,high
ORD_0000509,high
ORD_0000510,low
ORD_0000511,low
ORD_0000512,medium
ORD_0000513,medium
ORD_0000514,medium
ORD_0000515,low
ORD_0000516,low
ORD_0000517,medium
ORD_0000518,medium
ORD_0000519,medium
ORD_0000520,low
ORD_0000521,medium
ORD_0000522,medium
ORD_0000523,high
ORD_0000524,high
ORD_0000525,low
ORD_0000526,low
ORD_0000527,medium
ORD_0000528,medium
ORD_0000529,low
ORD_0000530,high
ORD_0000531,low
ORD_0000532,medium
ORD_0000533,low
ORD_0000534,high
ORD_0000535,low
ORD_0000536,medium
ORD_0000537,low
ORD_0000538,medium
ORD_0000539,high
ORD_0000540,high
ORD_0000541,medium
ORD_0000542,low
ORD_0000543,medium
ORD_0000544,high
ORD_0000545,high
ORD_0000546,medium
ORD_0000547,high
ORD_0000548,low
ORD_0000549,high
ORD_0000550,medium
ORD_0000551,high
ORD_0000552,medium
ORD_0000553,high
ORD_0000554,low
ORD_0000555,low
ORD_0000556,low
ORD_0000557,medium
ORD_0000558,high
ORD_0000559,low
ORD_0000560,low
ORD_0000561,low
ORD_0000562,low
ORD_0000563,low
ORD_0000564,low
ORD_0000565,low
ORD_0000566,low
ORD_0000567,medium
ORD_0000568,low
ORD_0000569,medium
ORD_0000570,high
ORD_0000571,high
ORD_0000572,medium
ORD_0000573,high
ORD_0000574,low
ORD_0000575,low
ORD_0000576,medium
ORD_0000577,low
ORD_0000578,medium
ORD_0000579,low
ORD_0000580,low
ORD_0000581,low
ORD_0000582,high
ORD_0000583,low
ORD_0000584,medium
ORD_0000585,medium
ORD_0000586,high
ORD_0000587,medium
ORD_0000588,high
ORD_0000589,medium
ORD_0000590,medium
ORD_0000591,low
ORD_0000592,low
ORD_0000593,low
ORD_0000594,high
ORD_0000595,low
ORD_0000596,low
ORD_0000597,high
ORD_0000598,low
ORD_0000599,medium
ORD_0000600,low
ORD_0000601,high
ORD_0000602,low
ORD_0000603,high
ORD_0000604,medium
ORD_0000605,medium
ORD_0000606,low
ORD_0000607,low
ORD_0000608,high
ORD_0000609,medium
ORD_0000610,low
ORD_0000611,low
ORD_0000612,low
ORD_0000613,low
ORD_0000614,low
ORD_0000615,medium
ORD_0000616,medium
ORD_0000617,medium
ORD_0000618,medium
ORD_0000619,low
ORD_0000620,high
ORD_0000621,low
ORD_0000622,low
ORD_0000623,low
ORD_0000624,medium
ORD_0000625,high
ORD_0000626,medium
ORD_0000627,low
ORD_0000628,high
ORD_0000629,medium
ORD_0000630,low
ORD_0000631,low
ORD_0000632,medium
ORD_0000633,low
ORD_0000634,medium
ORD_0000635,low
ORD_0000636,low
ORD_0000637,low
ORD_0000638,low
ORD_0000639,low
ORD_0000640,medium
ORD_0000641,low
ORD_0000642,low
ORD_0000643,low
ORD_0000644,medium
ORD_0000645,low
ORD_0000646,medium
ORD_0000647,low
ORD_0000648,medium
ORD_0000649,high
ORD_0000650,high
ORD_0000651,high
ORD_0000652,low
ORD_0000653,medium
ORD_0000654,high
ORD_0000655,low
ORD_0000656,low
ORD_0000657,low
ORD_0000658,low
ORD_0000659,medium
ORD_0000660,high
ORD_0000661,medium
ORD_0000662,low
ORD_0000663,low
ORD_0000664,low
ORD_0000665,low
ORD_0000666,high
ORD_0000667,high
ORD_0000668,medium
ORD_0000669,low
ORD_0000670,low
ORD_0000671,low
ORD_0000672,low
ORD_0000673,low
ORD_0000674,high
ORD_0000675,high
ORD_0000676,medium
ORD_0000677,low
ORD_0000678,low
ORD_0000679,medium
ORD_0000680,low
ORD_0000681,medium
ORD_0000682,medium
ORD_0000683,medium
ORD_0000684,low
ORD_0000685,low
ORD_0000686,low
ORD_0000687,low
ORD_0000688,low
ORD_0000689,low
ORD_0000690,low
ORD_0000691,low
ORD_0000692,medium
ORD_0000693,medium
ORD_0000694,medium
ORD_0000695,low
ORD_0000696,high
ORD_0000697,medium
ORD_0000698,low
ORD_0000699,high
ORD_0000700,low
ORD_0000701,low
ORD_0000702,medium
ORD_0000703,high
ORD_0000704,low
ORD_0000705,high
ORD_0000706,medium
ORD_0000707,medium
ORD_0000708,low
ORD_0000709,high
ORD_0000710,high
ORD_0000711,medium
ORD_0000712,low
ORD_0000713,medium
ORD_0000714,high
ORD_0000715,medium
ORD_0000716,low
ORD_0000717,low
ORD_0000718,low
ORD_0000719,low
ORD_0000720,low
ORD_0000721,medium
ORD_0000722,low
ORD_0000723,medium
ORD_0000724,high
ORD_0000725,high
ORD_0000726,low
ORD_0000727,high
ORD_0000728,medium
ORD_0000729,medium
ORD_0000730,low
ORD_0000731,medium
ORD_0000732,low
ORD_0000733,medium
ORD_0000734,medium
ORD_0000735,medium
ORD_0000736,medium
ORD_0000737,low
ORD_0000738,low
ORD_0000739,low
ORD_0000740,medium
ORD_0000741,high
ORD_0000742,low
ORD_0000743,medium
ORD_0000744,low
ORD_0000745,medium
ORD_0000746,high
ORD_0000747,medium
ORD_0000748,high
ORD_0000749,low
ORD_0000750,low
ORD_0000751,low
ORD_0000752,high
ORD_0000753,low
ORD_0000754,medium
ORD_0000755,high
ORD_0000756,medium
ORD_0000757,high
ORD_0000758,low
ORD_0000759,high
ORD_0000760,low
ORD_0000761,medium
ORD_0000762,low
ORD_0000763,medium
ORD_0000764,high
ORD_0000765,low
ORD_0000766,medium
ORD_0000767,medium
ORD_0000768,low
ORD_0000769,low
ORD_0000770,medium
ORD_0000771,low
ORD_0000772,low
ORD_0000773,medium
ORD_0000774,low
ORD_0000775,medium
ORD_0000776,high
ORD_0000777,low
ORD_0000778,low
ORD_0000779,high
ORD_0000780,low
ORD_0000781,low
ORD_0000782,low
ORD_0000783,high
ORD_0000784,medium
ORD_0000785,low
ORD_0000786,medium
ORD_0000787,high
ORD_0000788,high
ORD_0000789,medium
ORD_0000790,low
ORD_0000791,low
ORD_0000792,high
ORD_0000793,low
ORD_0000794,medium
ORD_0000795,low
ORD_0000796,medium
ORD_0000797,low
ORD_0000798,medium
ORD_0000799,low
ORD_0000800,high
ORD_0000801,low
ORD_0000802,medium
ORD_0000803,high
ORD_0000804,high
ORD_0000805,low
ORD_0000806,low
ORD_0000807,medium
ORD_0000808,high
ORD_0000809,low
ORD_0000810,medium
ORD_0000811,low
ORD_0000812,low
ORD_0000813,low
ORD_0000814,high
ORD_0000815,low
ORD_0000816,low
ORD_0000817,high
ORD_0000818,low
ORD_0000819,low
ORD_0000820,low
ORD_0000821,medium
ORD_0000822,low
ORD_0000823,low
ORD_0000824,low
ORD_0000825,medium
ORD_0000826,medium
ORD_0000827,medium
ORD_0000828,medium
ORD_0000829,low
ORD_0000830,medium
ORD_0000831,low
ORD_0000832,medium
ORD_0000833,medium
ORD_0000834,low
ORD_0000835,medium
ORD_0000836,medium
ORD_0000837,low
ORD_0000838,high
ORD_0000839,medium
ORD_0000840,low
ORD_0000841,high
ORD_0000842,low
ORD_0000843,low
ORD_0000844,medium
ORD_0000845,low
ORD_0000846,low
ORD_0000847,high
ORD_0000848,high
ORD_0000849,high
ORD_0000850,low
ORD_0000851,low
ORD_0000852,low
ORD_0000853,low
ORD_0000854,low
ORD_0000855,low
ORD_0000856,low
ORD_0000857,high
ORD_0000858,low
ORD_0000859,high
ORD_0000860,low
ORD_0000861,low
ORD_0000862,low
ORD_0000863,medium
ORD_0000864,medium
ORD_0000865,low
ORD_0000866,low
ORD_0000867,high
ORD_0000868,high
ORD_0000869,medium
ORD_0000870,low
ORD_0000871,medium
ORD_0000872,high
ORD_0000873,low
ORD_0000874,low
ORD_0000875,medium
ORD_0000876,medium
ORD_0000877,low
ORD_0000878,low
ORD_0000879,low
ORD_0000880,medium
ORD_0000881,low
ORD_0000882,low
ORD_0000883,medium
ORD_0000884,medium
ORD_0000885,medium
ORD_0000886,low
ORD_0000887,low
ORD_0000888,low
ORD_0000889,medium
ORD_0000890,low
ORD_0000891,high
ORD_0000892,high
ORD_0000893,medium
ORD_0000894,medium
ORD_0000895,medium
ORD_0000896,low
ORD_0000897,medium
ORD_0000898,high
ORD_0000899,low
ORD_0000900,low
ORD_0000901,medium
ORD_0000902,medium
ORD_0000903,medium
ORD_0000904,low
ORD_0000905,high
ORD_0000906,low
ORD_0000907,medium
ORD_0000908,high
ORD_0000909,medium
ORD_0000910,low
ORD_0000911,low
ORD_0000912,low
ORD_0000913,high
ORD_0000914,low
ORD_0000915,medium
ORD_0000916,low
ORD_0000917,low
ORD_0000918,medium
ORD_0000919,high
ORD_0000920,low
ORD_0000921,high
ORD_0000922,low
ORD_0000923,low
ORD_0000924,medium
ORD_0000925,medium
ORD_0000926,low
ORD_0000927,medium
ORD_0000928,medium
ORD_0000929,medium
ORD_0000930,low
ORD_0000931,medium
ORD_0000932,low
ORD_0000933,high
ORD_0000934,low
ORD_0000935,medium
ORD_0000936,high
ORD_0000937,low
ORD_0000938,low
ORD_0000939,high
ORD_0000940,low
ORD_0000941,low
ORD_0000942,medium
ORD_0000943,medium
ORD_0000944,low
ORD_0000945,medium
ORD_0000946,low
ORD_0000947,high
ORD_0000948,medium
ORD_0000949,high
ORD_0000950,high
ORD_0000951,high
ORD_0000952,medium
ORD_0000953,low
ORD_0000954,low
ORD_0000955,low
ORD_0000956,high
ORD_0000957,low
ORD_0000958,high
ORD_0000959,high
ORD_0000960,low
ORD_0000961,low
ORD_0000962,low
ORD_0000963,medium
ORD_0000964,low
ORD_0000965,high
ORD_0000966,low
ORD_0000967,low
ORD_0000968,medium
ORD_0000969,low
ORD_0000970,low
ORD_0000971,high
ORD_0000972,low
ORD_0000973,low
ORD_0000974,high
ORD_0000975,medium
ORD_0000976,high
ORD_0000977,medium
ORD_0000978,low
ORD_0000979,low
ORD_0000980,medium
ORD_0000981,medium
ORD_0000982,low
ORD_0000983,low
ORD_0000984,medium
ORD_0000985,medium
ORD_0000986,low
ORD_0000987,low
ORD_0000988,low
ORD_0000989,high
ORD_0000990,high
ORD_0000991,high
ORD_0000992,low
ORD_0000993,low
ORD_0000994,low
ORD_0000995,high
ORD_0000996,low
ORD_0000997,low
ORD_0000998,low
ORD_0000999,medium
ORD_0001000,medium
ORD_0001001,low
ORD_0001002,low
ORD_0001003,medium
ORD_0001004,low
ORD_0001005,low
ORD_0001006,low
ORD_0001007,high
ORD_0001008,high
ORD_0001009,low
ORD_0001010,medium
ORD_0001011,low
ORD_0001012,low
ORD_0001013,medium
ORD_0001014,low
ORD_0001015,high
ORD_0001016,high
ORD_0001017,medium
ORD_0001018,low
ORD_0001019,high
ORD_0001020,low
ORD_0001021,low
ORD_0001022,medium
ORD_0001023,medium
ORD_0001024,low
ORD_0001025,low
ORD_0001026,medium
ORD_0001027,medium
ORD_0001028,medium
ORD_0001029,medium
ORD_0001030,high
ORD_0001031,low
ORD_0001032,high
ORD_0001033,medium
ORD_0001034,low
ORD_0001035,low
ORD_0001036,low
ORD_0001037,low
ORD_0001038,medium
ORD_0001039,low
ORD_0001040,low
ORD_0001041,high
ORD_0001042,medium
ORD_0001043,low
ORD_0001044,low
ORD_0001045,low
ORD_0001046,medium
ORD_0001047,low
ORD_0001048,medium
ORD_0001049,medium
ORD_0001050,high
ORD_0001051,high
ORD_0001052,medium
ORD_0001053,low
ORD_0001054,low
ORD_0001055,medium
ORD_0001056,low
ORD_0001057,medium
ORD_0001058,low
ORD_0001059,low
ORD_0001060,low
ORD_0001061,low
ORD_0001062,low
ORD_0001063,low
ORD_0001064,low
ORD_0001065,low
ORD_0001066,high
ORD_0001067,medium
ORD_0001068,medium
ORD_0001069,medium
ORD_0001070,low
ORD_0001071,high
ORD_0001072,high
ORD_0001073,low
ORD_0001074,high
ORD_0001075,low
ORD_0001076,medium
ORD_0001077,high
ORD_0001078,low
ORD_0001079,medium
ORD_0001080,high
ORD_0001081,medium
ORD_0001082,medium
ORD_0001083,low
ORD_0001084,low
ORD_0001085,medium
ORD_0001086,medium
ORD_0001087,high
ORD_0001088,high
ORD_0001089,high
ORD_0001090,medium
ORD_0001091,medium
ORD_0001092,low
ORD_0001093,medium
ORD_0001094,medium
ORD_0001095,low
ORD_0001096,low
ORD_0001097,high
ORD_0001098,low
ORD_0001099,low
ORD_0001100,medium
ORD_0001101,low
ORD_0001102,medium
ORD_0001103,high
ORD_0001104,low
ORD_0001105,low
ORD_0001106,medium
ORD_0001107,high
ORD_0001108,low
ORD_0001109,low
ORD_0001110,medium
ORD_0001111,low
ORD_0001112,high
ORD_0001113,low
ORD_0001114,medium
ORD_0001115,low
ORD_0001116,medium
ORD_0001117,low
ORD_0001118,high
ORD_0001119,high
ORD_0001120,medium
ORD_0001121,high
ORD_0001122,low
ORD_0001123,low
ORD_0001124,medium
ORD_0001125,high
ORD_0001126,low
ORD_0001127,medium
ORD_0001128,low
ORD_0001129,high
ORD_0001130,medium
ORD_0001131,low
ORD_0001132,low
ORD_0001133,high
ORD_0001134,high
ORD_0001135,high
ORD_0001136,medium
ORD_0001137,medium
ORD_0001138,medium
ORD_0001139,low
ORD_0001140,low
ORD_0001141,high
ORD_0001142,high
ORD_0001143,low
ORD_0001144,low
ORD_0001145,medium
ORD_0001146,medium
ORD_0001147,medium
ORD_0001148,medium
ORD_0001149,high
ORD_0001150,medium
ORD_0001151,medium
ORD_0001152,high
ORD_0001153,high
ORD_0001154,low
ORD_0001155,high
ORD_0001156,low
ORD_0001157,low
ORD_0001158,medium
ORD_0001159,low
ORD_0001160,low
ORD_0001161,high
ORD_0001162,low
ORD_0001163,low
ORD_0001164,medium
ORD_0001165,low
ORD_0001166,medium
ORD_0001167,medium
ORD_0001168,medium
ORD_0001169,low
ORD_0001170,high
ORD_0001171,medium
ORD_0001172,low
ORD_0001173,low
ORD_0001174,medium
ORD_0001175,low
ORD_0001176,low
ORD_0001177,low
ORD_0001178,medium
ORD_0001179,medium
ORD_0001180,high
ORD_0001181,low
ORD_0001182,medium
ORD_0001183,low
ORD_0001184,low
ORD_0001185,low
ORD_0001186,medium
ORD_0001187,low
ORD_0001188,medium
ORD_0001189,low
ORD_0001190,low
ORD_0001191,low
ORD_0001192,low
ORD_0001193,low
ORD_0001194,medium
ORD_0001195,medium
ORD_0001196,medium
ORD_0001197,low
ORD_0001198,low
ORD_0001199,low
ORD_0001200,high
ORD_0001201,medium
ORD_0001202,low
ORD_0001203,medium
ORD_0001204,medium
ORD_0001205,high
ORD_0001206,low
ORD_0001207,high
ORD_0001208,low
ORD_0001209,medium
ORD_0001210,medium
ORD_0001211,medium
ORD_0001212,low
ORD_0001213,high
ORD_0001214,low
ORD_0001215,medium
ORD_0001216,low
ORD_0001217,high
ORD_0001218,high
ORD_0001219,low
ORD_0001220,low
ORD_0001221,medium
ORD_0001222,high
ORD_0001223,low
ORD_0001224,low
ORD_0001225,low
ORD_0001226,medium
ORD_0001227,high
ORD_0001228,high
ORD_0001229,low
ORD_0001230,high
ORD_0001231,high
ORD_0001232,medium
ORD_0001233,low
ORD_0001234,low
ORD_0001235,high
ORD_0001236,medium
ORD_0001237,high
ORD_0001238,low
ORD_0001239,high
ORD_0001240,high
ORD_0001241,low
ORD_0001242,high
ORD_0001243,low
ORD_0001244,low
ORD_0001245,medium
ORD_0001246,medium
ORD_0001247,high
ORD_0001248,low
ORD_0001249,medium
ORD_0001250,low
ORD_0001251,low
ORD_0001252,medium
ORD_0001253,low
ORD_0001254,medium
ORD_0001255,low
ORD_0001256,high
ORD_0001257,low
ORD_0001258,high
ORD_0001259,high
ORD_0001260,high
ORD_0001261,medium
ORD_0001262,medium
ORD_0001263,low
ORD_0001264,high
ORD_0001265,low
ORD_0001266,high
ORD_0001267,medium
ORD_0001268,low
ORD_0001269,low
ORD_0001270,medium
ORD_0001271,low
ORD_0001272,low
ORD_0001273,low
ORD_0001274,low
ORD_0001275,medium
ORD_0001276,low
ORD_0001277,medium
ORD_0001278,low
ORD_0001279,low
ORD_0001280,medium
ORD_0001281,low
ORD_0001282,low
ORD_0001283,high
ORD_0001284,low
ORD_0001285,low
ORD_0001286,low
ORD_0001287,low
ORD_0001288,medium
ORD_0001289,medium
ORD_0001290,high
ORD_0001291,medium
ORD_0001292,high
ORD_0001293,high
ORD_0001294,medium
ORD_0001295,low
ORD_0001296,low
ORD_0001297,high
ORD_0001298,low
ORD_0001299,high
ORD_0001300,medium
ORD_0001301,low
ORD_0001302,medium
ORD_0001303,low
ORD_0001304,high
ORD_0001305,low
ORD_0001306,low
ORD_0001307,low
ORD_0001308,medium
ORD_0001309,medium
ORD_0001310,low
ORD_0001311,medium
ORD_0001312,low
ORD_0001313,low
ORD_0001314,medium
ORD_0001315,high
ORD_0001316,low
ORD_0001317,low
ORD_0001318,high
ORD_0001319,low
ORD_0001320,high
ORD_0001321,medium
ORD_0001322,high
ORD_0001323,low
ORD_0001324,high
ORD_0001325,low
ORD_0001326,high
ORD_0001327,low
ORD_0001328,low
ORD_0001329,medium
ORD_0001330,medium
ORD_0001331,medium
ORD_0001332,medium
ORD_0001333,low
ORD_0001334,low
ORD_0001335,medium
ORD_0001336,low
ORD_0001337,low
ORD_0001338,low
ORD_0001339,high
ORD_0001340,low
ORD_0001341,low
ORD_0001342,high
ORD_0001343,medium
ORD_0001344,medium
ORD_0001345,low
ORD_0001346,low
ORD_0001347,low
ORD_0001348,medium
ORD_0001349,medium
ORD_0001350,high
ORD_0001351,low
ORD_0001352,low
ORD_0001353,high
ORD_0001354,high
ORD_0001355,low
ORD_0001356,low
