sku_id,unit_cost,annual_demand,weight_kg,volume_cu_m,pick_frequency
SKU_00680,409.45,38106,27.02,0.171,140
SKU_00574,431.87,36023,9.98,0.054,111
SKU_00450,389.69,39785,17.98,0.134,140
SKU_00238,324.51,47738,11.32,0.186,135
SKU_00094,386.63,39937,6.05,0.068,135
SKU_00707,405.89,37973,6.56,0.165,120
SKU_00524,419.97,36321,22.8,0.111,134
SKU_00435,351.98,43301,22.75,0.044,123
SKU_00170,340.39,44741,3.51,0.179,139
SKU_00073,408.65,37214,21.76,0.198,136
SKU_00137,352.99,41944,24.08,0.004,124
SKU_00573,312.93,47164,26.33,0.05,146
SKU_00950,302.26,48704,14.06,0.075,137
SKU_00719,366.78,39982,11.59,0.15,145
SKU_00727,398.66,36421,0.92,0.126,141
SKU_00485,451.07,31990,19.58,0.183,146
SKU_00513,433.7,33220,19.69,0.104,135
SKU_00357,294.96,48751,7.18,0.121,129
SKU_00113,405.02,35500,3.15,0.11,146
SKU_00752,315.72,45460,6.93,0.178,142
SKU_00803,305.32,46981,23.8,0.083,148
SKU_00813,460.82,31110,10.67,0.091,148
SKU_00118,446.82,31983,8.45,0.097,134
SKU_00961,303.56,46579,28.3,0.051,132
SKU_00252,426.31,33162,3.83,0.039,129
SKU_00480,316.55,44655,27.55,0.086,121
SKU_00165,418.47,33760,14.4,0.103,122
SKU_00820,402.41,35005,14.06,0.117,135
SKU_00052,470.05,29966,5.83,0.129,148
SKU_00709,342.34,41001,24.52,0.056,131
SKU_00398,376.68,37035,22.5,0.185,130
SKU_00541,305.06,45450,14.42,0.07,119
SKU_00414,317.76,43508,4.93,0.001,146
SKU_00697,292.71,47155,24.89,0.089,129
SKU_00872,323.78,42522,0.17,0.126,138
SKU_00508,475.15,28806,3.28,0.143,139
SKU_00947,450.51,30237,17.85,0.121,141
SKU_00221,286.31,47556,17.36,0.008,139
SKU_00463,293.77,46263,14.61,0.086,134
SKU_00182,462.72,29292,11.72,0.012,116
SKU_00355,323.0,41852,23.18,0.087,151
SKU_00200,322.81,41855,5.5,0.136,132
SKU_00839,317.97,42468,13.36,0.16,139
SKU_00771,423.99,31448,16.41,0.128,138
SKU_00860,388.89,34184,15.86,0.096,142
SKU_00886,328.11,40490,8.48,0.021,114
SKU_00065,273.63,48388,18.58,0.18,125
SKU_00473,446.12,29645,0.98,0.158,124
SKU_00325,370.26,35712,1.59,0.109,141
SKU_00568,452.56,29152,6.87,0.117,154
SKU_00295,263.51,49938,9.05,0.026,116
SKU_00401,451.76,29109,3.45,0.139,127
SKU_00774,399.66,32879,4.63,0.029,136
SKU_00807,463.16,28311,25.59,0.091,140
SKU_00914,278.26,46920,16.51,0.188,153
SKU_00647,341.16,38238,24.56,0.142,131
SKU_00388,376.55,34631,18.43,0.016,129
SKU_00903,293.61,44411,21.33,0.073,119
SKU_00247,483.49,26805,20.38,0.042,132
SKU_00154,492.9,26272,15.49,0.153,149
SKU_00549,387.3,33397,24.8,0.06,123
SKU_00532,498.34,25949,0.11,0.157,128
SKU_00949,300.72,42928,17.54,0.112,141
SKU_00396,429.91,29859,25.87,0.119,144
SKU_00020,307.87,41460,28.72,0.021,146
SKU_00548,262.55,48464,29.19,0.004,131
SKU_00489,445.68,28480,26.41,0.083,152
SKU_00107,379.0,33013,24.34,0.071,146
SKU_00609,346.75,36046,4.04,0.143,133
SKU_00462,374.29,33326,29.65,0.072,133
SKU_00966,360.93,34547,3.57,0.125,133
SKU_00358,470.41,26485,22.0,0.05,125
SKU_00970,333.52,37311,25.34,0.047,132
SKU_00791,295.18,42074,24.94,0.073,120
SKU_00755,398.04,31110,4.16,0.004,118
SKU_00631,448.13,27520,14.28,0.096,128
SKU_00421,395.86,30911,2.92,0.002,126
SKU_00534,385.65,31685,11.75,0.075,121
SKU_00720,469.48,26023,13.56,0.031,116
SKU_00467,434.96,28061,29.91,0.075,131
SKU_00233,248.8,48974,9.4,0.165,146
SKU_00688,385.9,31563,18.0,0.038,131
SKU_00336,428.45,28187,0.5,0.136,127
SKU_00510,308.64,39104,0.21,0.082,114
SKU_00781,273.65,43890,5.13,0.127,126
SKU_00824,271.01,44239,15.44,0.148,113
SKU_00420,396.83,29881,16.62,0.188,156
SKU_00847,498.45,23769,19.24,0.188,158
SKU_00551,426.83,27590,25.2,0.083,135
SKU_00662,304.86,38625,20.27,0.086,134
SKU_00119,271.97,43294,27.92,0.18,141
SKU_00953,457.63,25692,2.57,0.188,133
SKU_00789,473.91,24696,20.35,0.19,136
SKU_00438,354.59,32957,19.32,0.149,136
SKU_00204,305.18,38101,8.15,0.113,149
SKU_00494,234.53,49558,21.6,0.107,157
SKU_00321,358.72,32332,13.11,0.112,125
SKU_00453,453.65,25391,22.01,0.131,144
SKU_00337,353.31,32447,8.55,0.125,138
SKU_00700,268.63,42387,20.88,0.087,123
SKU_00104,454.25,25051,25.95,0.084,118
SKU_00716,416.16,27308,25.87,0.197,141
SKU_00661,493.33,23011,7.82,0.117,141
SKU_00894,335.7,33637,0.28,0.063,130
SKU_00176,347.01,32384,1.41,0.099,141
SKU_00187,279.82,40159,14.93,0.078,127
SKU_00815,261.82,42741,1.24,0.137,118
SKU_00831,228.96,48468,16.93,0.124,118
SKU_00725,421.71,26313,0.47,0.178,126
SKU_00359,289.86,38258,16.49,0.072,119
SKU_00595,239.61,46017,0.85,0.196,121
SKU_00523,421.85,26063,12.31,0.089,151
SKU_00802,290.26,37750,9.84,0.162,122
SKU_00766,382.42,28541,11.17,0.188,119
SKU_00086,366.16,29729,23.73,0.056,125
SKU_00884,400.96,27142,12.03,0.197,126
SKU_00723,371.85,29265,3.06,0.054,153
SKU_00972,367.62,29401,4.26,0.111,115
SKU_00076,386.78,27888,19.66,0.131,147
SKU_00851,376.23,28652,7.76,0.088,124
SKU_00196,364.35,29225,6.71,0.151,149
SKU_00876,359.41,29444,2.16,0.074,124
SKU_00797,284.74,37014,24.52,0.129,128
SKU_00686,287.95,36587,19.43,0.078,144
SKU_00093,282.83,37229,18.92,0.19,138
SKU_00242,457.86,22990,25.21,0.118,130
SKU_00186,409.52,25659,20.31,0.198,155
SKU_00633,268.4,39130,16.16,0.149,152
SKU_00862,264.57,39675,19.37,0.189,127
SKU_00074,354.89,29530,23.78,0.049,120
SKU_00535,472.66,22115,11.45,0.055,134
SKU_00276,400.16,25921,0.79,0.104,130
SKU_00861,229.38,45205,19.01,0.012,124
SKU_00490,230.55,44762,15.81,0.175,132
SKU_00554,438.94,23379,16.82,0.098,167
SKU_00444,407.34,25103,5.06,0.164,120
SKU_00981,386.6,26442,14.31,0.118,126
SKU_00364,471.03,21663,23.65,0.042,159
SKU_00501,270.37,37512,17.36,0.041,126
SKU_00838,292.39,34666,13.73,0.076,136
SKU_00399,378.5,26689,8.79,0.015,146
SKU_00915,220.88,45508,6.66,0.004,137
SKU_00258,287.18,34932,19.92,0.122,133
SKU_00136,261.8,38297,19.81,0.044,125
SKU_00778,361.42,27698,29.41,0.076,132
SKU_00804,214.94,46513,13.9,0.042,136
SKU_00017,264.75,37741,0.78,0.165,133
SKU_00543,337.49,29526,12.7,0.159,136
SKU_00890,362.52,27313,16.52,0.032,142
SKU_00749,314.0,31424,3.25,0.062,126
SKU_00474,266.21,36977,24.71,0.08,127
SKU_00695,307.26,31990,22.26,0.117,133
SKU_00823,202.09,48578,28.48,0.017,140
SKU_00191,449.12,21854,9.58,0.181,124
SKU_00048,275.62,35535,18.12,0.067,137
SKU_00159,365.47,26785,20.05,0.076,139
SKU_00976,299.56,32476,8.43,0.19,125
SKU_00027,259.55,37298,4.26,0.007,123
SKU_00437,411.82,23498,9.44,0.1,140
SKU_00116,402.82,23995,24.29,0.113,164
SKU_00683,335.98,28725,22.52,0.062,135
SKU_00296,386.15,24960,5.29,0.17,141
SKU_00302,272.61,35296,22.44,0.133,131
SKU_00081,313.53,30686,11.67,0.145,141
SKU_00055,461.33,20762,22.65,0.133,139
SKU_00054,300.96,31805,14.59,0.114,156
SKU_00692,256.27,37308,4.71,0.145,146
SKU_00913,207.66,45899,25.28,0.153,147
SKU_00739,191.59,49706,0.3,0.142,135
SKU_00717,482.69,19714,17.75,0.158,124
SKU_00939,290.38,32681,24.73,0.057,131
SKU_00363,275.08,34475,24.85,0.015,133
SKU_00968,285.37,33104,16.98,0.012,165
SKU_00921,246.28,38057,21.62,0.132,124
SKU_00408,453.16,20681,16.39,0.113,143
SKU_00525,237.0,39543,27.12,0.052,147
SKU_00989,410.46,22741,3.42,0.187,145
SKU_00738,222.37,41881,11.43,0.163,128
SKU_00956,261.86,35533,3.98,0.146,152
SKU_00521,193.54,48008,2.15,0.003,136
SKU_00691,215.59,42923,3.56,0.174,119
SKU_00162,318.6,28931,7.9,0.01,127
SKU_00788,233.69,39438,15.27,0.101,130
SKU_00993,297.16,30782,25.78,0.135,139
SKU_00677,201.94,45241,2.86,0.121,132
SKU_00315,349.51,26129,1.78,0.157,135
SKU_00817,202.51,45076,16.52,0.128,141
SKU_00248,481.99,18887,22.71,0.003,145
SKU_00188,267.18,33842,0.48,0.115,148
SKU_00865,282.02,32010,22.02,0.106,128
SKU_00415,226.98,39599,7.74,0.036,124
SKU_00516,191.35,46904,2.4,0.15,136
SKU_00578,248.6,36084,15.99,0.197,144
SKU_00129,257.82,34736,26.49,0.082,140
SKU_00533,279.94,31960,5.16,0.127,134
SKU_00275,253.25,35250,18.1,0.055,138
SKU_00742,375.07,23716,17.92,0.181,141
SKU_00423,249.74,35588,8.54,0.125,145
SKU_00078,182.44,48643,15.81,0.113,148
SKU_00160,187.05,47419,0.41,0.111,158
SKU_00504,343.94,25758,25.33,0.094,134
SKU_00270,405.63,21836,6.84,0.031,130
SKU_00994,183.68,47964,5.66,0.153,137
SKU_00488,475.45,18411,24.6,0.158,115
SKU_00277,326.73,26760,9.73,0.055,131
SKU_00103,256.74,34033,3.9,0.01,117
SKU_00461,326.36,26730,9.66,0.182,124
SKU_00303,320.53,27183,22.23,0.032,147
SKU_00034,482.99,18005,3.74,0.009,127
SKU_00848,253.59,34168,9.02,0.155,140
SKU_00998,475.37,18173,11.2,0.134,112
SKU_00274,258.11,33439,18.02,0.005,137
SKU_00348,190.43,45023,4.78,0.033,129
SKU_00793,307.67,27864,5.04,0.023,132
SKU_00732,334.27,25526,19.41,0.103,150
SKU_00570,259.42,32881,18.0,0.043,131
SKU_00623,244.84,34807,27.23,0.097,130
SKU_00255,280.62,30320,23.43,0.128,133
SKU_00612,315.81,26888,29.13,0.14,135
SKU_00751,470.22,17924,29.16,0.192,162
SKU_00674,208.15,40387,19.99,0.079,118
SKU_00219,425.37,19723,4.63,0.06,137
SKU_00263,261.57,31675,5.52,0.026,149
SKU_00978,250.7,33016,20.32,0.122,148
SKU_00545,182.29,45341,28.99,0.07,132
SKU_00043,455.11,17950,26.3,0.016,125
SKU_00417,167.69,48690,16.85,0.09,134
SKU_00999,225.77,36135,26.11,0.094,152
SKU_00863,223.18,36551,24.61,0.016,136
SKU_00268,182.95,44586,21.73,0.153,132
SKU_00125,216.42,37673,13.56,0.132,138
SKU_00714,177.69,45843,2.42,0.165,134
SKU_00560,353.52,22961,3.7,0.06,115
SKU_00338,239.72,33856,1.43,0.064,142
SKU_00194,172.82,46781,16.37,0.006,155
SKU_00039,222.88,36162,23.32,0.045,135
SKU_00564,178.54,45065,17.06,0.147,127
SKU_00246,216.95,36866,22.78,0.041,122
SKU_00499,493.17,16182,18.45,0.157,135
SKU_00786,293.78,27087,21.3,0.093,124
SKU_00395,465.72,17067,3.02,0.03,138
SKU_00089,238.75,33139,5.77,0.181,130
SKU_00484,294.24,26845,27.05,0.173,123
SKU_00304,364.42,21610,28.51,0.025,150
SKU_00607,185.31,42367,19.22,0.177,112
SKU_00161,317.99,24678,7.74,0.161,143
SKU_00217,374.51,20795,18.4,0.042,146
SKU_00174,324.36,23974,18.53,0.198,123
SKU_00365,196.12,39441,18.77,0.077,111
SKU_00910,297.2,25866,8.06,0.01,151
SKU_00502,158.22,48579,22.17,0.118,149
SKU_00639,191.76,39848,13.94,0.198,120
SKU_00343,219.76,34550,29.25,0.187,152
SKU_00553,282.66,26823,18.68,0.078,123
SKU_00990,400.71,18892,19.07,0.076,137
SKU_00069,493.51,15329,6.7,0.095,116
SKU_00153,247.28,30548,2.57,0.192,153
SKU_00857,238.67,31501,27.88,0.158,131
SKU_00003,301.34,24891,17.28,0.151,138
SKU_00085,165.97,45184,12.62,0.064,132
SKU_00657,184.73,40463,11.76,0.127,116
SKU_00195,177.86,41973,19.12,0.168,130
SKU_00853,449.54,16493,29.15,0.134,138
SKU_00785,454.68,16273,24.82,0.172,121
SKU_00376,423.21,17443,0.76,0.183,141
SKU_00451,281.41,26115,1.1,0.14,135
SKU_00122,162.41,45128,24.77,0.199,142
SKU_00045,332.95,21876,25.56,0.074,153
SKU_00106,208.14,34901,19.59,0.152,125
SKU_00906,409.63,17725,25.92,0.11,126
SKU_00684,465.04,15604,12.44,0.084,128
SKU_00157,382.0,18950,6.91,0.167,136
SKU_00618,404.07,17874,12.27,0.058,139
SKU_00452,214.99,33420,10.97,0.042,125
SKU_00547,337.43,21216,21.26,0.083,161
SKU_00102,160.61,44560,4.56,0.047,134
SKU_00526,210.34,33823,7.06,0.149,116
SKU_00660,181.27,39162,20.16,0.011,132
SKU_00572,201.29,35146,26.33,0.034,125
SKU_00743,253.85,27823,3.13,0.187,142
SKU_00896,150.11,46982,26.08,0.036,120
SKU_00756,311.94,22543,3.07,0.017,145
SKU_00566,199.16,35233,24.75,0.025,127
SKU_00849,299.72,23353,7.29,0.026,139
SKU_00734,182.62,38318,22.88,0.088,116
SKU_00373,343.09,20117,28.42,0.198,118
SKU_00341,239.37,28702,8.34,0.015,161
SKU_00917,474.48,14310,6.52,0.095,125
SKU_00685,280.6,24189,19.42,0.143,136
SKU_00567,221.55,30623,2.32,0.127,111
SKU_00675,491.28,13769,24.03,0.033,146
SKU_00082,168.79,40074,28.92,0.124,120
SKU_00138,185.0,36432,3.25,0.004,127
SKU_00584,318.53,21039,17.24,0.151,129
SKU_00024,230.75,29021,14.43,0.168,134
SKU_00279,398.92,16761,4.56,0.097,136
SKU_00596,335.44,19916,20.86,0.103,137
SKU_00012,417.06,15996,21.67,0.094,124
SKU_00986,345.76,19269,11.62,0.152,122
SKU_00529,433.04,15382,26.98,0.166,144
SKU_00115,436.37,15252,28.29,0.092,152
SKU_00025,393.66,16874,9.48,0.142,156
SKU_00843,480.73,13773,14.35,0.044,144
SKU_00229,317.41,20770,8.41,0.01,126
SKU_00232,290.57,22634,19.76,0.071,105
SKU_00455,248.85,26389,9.46,0.011,130
SKU_00050,484.94,13509,11.66,0.148,134
SKU_00091,358.06,18255,9.77,0.129,141
SKU_00344,202.26,32296,11.2,0.17,134
SKU_00018,218.81,29811,4.7,0.157,121
SKU_00765,287.1,22712,25.08,0.002,134
SKU_00651,270.87,23957,0.99,0.071,149
SKU_00261,495.08,13087,0.97,0.051,128
SKU_00051,388.69,16614,16.98,0.045,144
SKU_00506,455.91,14125,1.03,0.043,136
SKU_00062,415.23,15417,8.04,0.059,135
SKU_00375,162.89,39210,5.57,0.188,127
SKU_00144,146.0,43613,29.13,0.191,133
SKU_00624,311.04,20437,7.24,0.004,140
SKU_00918,382.98,16556,12.54,0.132,143
SKU_00349,314.8,20082,25.61,0.038,161
SKU_00904,213.61,29471,20.04,0.039,135
SKU_00611,400.71,15663,23.62,0.147,140
SKU_00289,297.46,21053,7.15,0.09,141
SKU_00522,485.11,12903,22.92,0.185,123
SKU_00768,174.33,35731,14.27,0.081,123
SKU_00061,139.32,44647,23.5,0.122,138
SKU_00808,228.17,27217,21.36,0.19,150
SKU_00954,212.29,29082,27.93,0.179,119
SKU_00538,228.02,27058,3.95,0.181,142
SKU_00673,264.63,23296,7.78,0.07,145
SKU_00740,234.03,26300,11.64,0.193,142
SKU_00095,249.43,24674,2.03,0.145,142
SKU_00394,173.7,35301,6.56,0.138,129
SKU_00569,177.39,34514,21.93,0.025,123
SKU_00457,236.99,25783,29.04,0.007,140
SKU_00931,418.29,14584,8.77,0.103,130
SKU_00280,445.55,13607,20.89,0.073,124
SKU_00361,323.43,18739,26.48,0.067,136
SKU_00310,222.29,27182,17.62,0.097,123
SKU_00909,192.95,31107,4.65,0.041,116
SKU_00329,127.63,46866,0.31,0.025,138
SKU_00496,293.91,20149,27.17,0.157,133
SKU_00907,174.2,33993,12.1,0.198,130
SKU_00964,147.9,39991,28.1,0.118,133
SKU_00088,444.17,13084,20.46,0.106,131
SKU_00272,434.2,13381,1.68,0.083,140
SKU_00822,170.08,34154,29.09,0.129,133
SKU_00416,150.14,38659,28.4,0.024,160
SKU_00301,268.02,21527,29.73,0.043,147
SKU_00432,311.02,18433,5.68,0.145,128
SKU_00216,166.07,34180,22.33,0.109,137
SKU_00877,331.17,17114,0.27,0.071,140
SKU_00184,132.68,42620,8.29,0.056,147
SKU_00879,114.88,49204,24.68,0.195,128
SKU_00140,481.41,11693,15.31,0.147,118
SKU_00483,315.64,17750,29.64,0.067,125
SKU_00552,278.19,20075,29.46,0.145,151
SKU_00108,118.26,47137,18.46,0.19,122
SKU_00537,127.44,43685,11.51,0.064,140
SKU_00067,402.09,13837,6.94,0.188,140
SKU_00131,114.94,48380,29.65,0.105,131
SKU_00544,310.97,17878,0.91,0.177,159
SKU_00666,126.75,43853,21.67,0.136,157
SKU_00527,140.34,39163,24.24,0.016,159
SKU_00322,331.8,16522,28.13,0.101,130
SKU_00911,137.69,39632,0.76,0.026,109
SKU_00873,207.32,26260,1.42,0.045,157
SKU_00561,110.42,49253,2.14,0.109,129
SKU_00962,126.45,42991,12.73,0.104,139
SKU_00224,136.28,39792,4.91,0.06,129
SKU_00327,307.8,17582,27.29,0.062,144
SKU_00173,117.12,46107,15.67,0.032,125
SKU_00591,322.23,16753,1.08,0.14,148
SKU_00829,228.85,23586,14.79,0.047,134
SKU_00410,163.06,33081,22.65,0.135,152
SKU_00941,279.32,19301,8.22,0.171,138
SKU_00540,477.26,11271,24.09,0.166,118
SKU_00381,349.88,15351,16.4,0.11,125
SKU_00155,124.82,42974,26.98,0.171,148
SKU_00210,276.62,19229,28.96,0.181,149
SKU_00169,297.49,17864,14.28,0.081,124
SKU_00227,199.58,26392,22.28,0.02,130
SKU_00826,176.44,29834,22.66,0.119,122
SKU_00638,138.28,38046,8.62,0.103,142
SKU_00835,212.37,24711,10.93,0.101,133
SKU_00307,164.86,31698,29.39,0.088,148
SKU_00141,129.63,40142,11.69,0.072,135
SKU_00185,331.69,15685,27.86,0.125,144
SKU_00536,425.58,12103,6.88,0.047,147
SKU_00251,195.62,26223,15.11,0.011,149
SKU_00550,262.48,19442,21.01,0.092,149
SKU_00234,101.65,49808,22.3,0.104,137
SKU_00426,223.56,22531,11.22,0.126,128
SKU_00594,448.91,11183,28.68,0.088,127
SKU_00608,254.19,19676,20.33,0.045,134
SKU_00328,212.7,23511,23.43,0.097,132
SKU_00992,139.71,35685,0.19,0.096,121
SKU_00880,119.38,41721,24.29,0.035,114
SKU_00007,433.76,11444,11.98,0.026,122
SKU_00314,418.81,11845,23.5,0.004,117
SKU_00935,139.79,35296,21.65,0.081,131
SKU_00146,306.73,15976,23.54,0.079,134
SKU_00041,250.11,19526,17.87,0.172,131
SKU_00690,165.22,29359,4.25,0.172,129
SKU_00929,132.65,36478,7.12,0.178,130
SKU_00845,210.24,22768,1.88,0.121,123
SKU_00699,243.16,19608,24.62,0.192,136
SKU_00059,166.04,28635,5.2,0.11,140
SKU_00733,263.92,17872,1.44,0.148,153
SKU_00635,226.47,20777,1.58,0.11,126
SKU_00385,402.72,11636,16.32,0.117,131
SKU_00172,258.49,18124,27.62,0.18,119
SKU_00800,355.08,13176,22.06,0.111,120
SKU_00256,468.4,9982,6.59,0.084,125
SKU_00026,103.84,44913,18.23,0.19,147
SKU_00362,231.84,20094,11.86,0.136,170
SKU_00702,171.62,27084,13.52,0.107,132
SKU_00721,94.71,48608,17.42,0.044,132
SKU_00036,155.78,29498,15.23,0.153,123
SKU_00762,128.0,35857,4.5,0.062,130
SKU_00615,460.83,9947,14.24,0.175,119
SKU_00652,295.49,15498,20.3,0.186,121
SKU_00402,255.1,17873,10.74,0.092,141
SKU_00360,197.14,23119,3.93,0.018,129
SKU_00763,373.25,12140,14.69,0.027,137
SKU_00713,208.86,21692,12.18,0.156,113
SKU_00180,173.83,26031,11.34,0.019,111
SKU_00744,119.95,37674,25.43,0.16,128
SKU_00783,176.12,25619,25.17,0.089,127
SKU_00015,95.79,46717,24.58,0.01,154
SKU_00658,324.73,13705,21.92,0.02,127
SKU_00342,90.73,49001,23.64,0.063,120
SKU_00198,444.11,10003,22.47,0.191,117
SKU_00920,434.89,10206,5.72,0.138,135
SKU_00269,150.33,29357,3.21,0.109,123
SKU_00397,217.35,20272,13.86,0.035,138
SKU_00495,179.91,24463,12.66,0.03,142
SKU_00689,97.59,45012,15.11,0.12,131
SKU_00293,183.29,23921,23.02,0.161,150
SKU_00142,251.14,17420,13.91,0.14,135
SKU_00016,155.6,28035,9.74,0.134,132
SKU_00893,201.61,21500,20.96,0.061,125
SKU_00406,197.65,21904,10.26,0.141,134
SKU_00477,279.16,15449,29.21,0.198,149
SKU_00643,167.11,25711,1.43,0.09,144
SKU_00404,163.42,26243,23.84,0.111,156
SKU_00143,153.93,27476,29.75,0.08,135
SKU_00777,362.52,11656,23.23,0.174,147
SKU_00796,466.4,9006,4.6,0.012,137
SKU_00469,481.8,8701,19.72,0.177,132
SKU_00225,125.77,33230,16.79,0.176,133
SKU_00505,85.5,48870,7.69,0.007,147
SKU_00105,128.4,32513,7.38,0.061,122
SKU_00386,144.61,28641,23.77,0.042,137
SKU_00092,381.59,10716,25.05,0.162,142
SKU_00761,159.3,25637,9.46,0.142,139
SKU_00852,108.9,37484,1.02,0.08,124
SKU_00340,248.35,16435,8.34,0.101,134
SKU_00979,300.44,13495,28.33,0.185,129
SKU_00585,123.87,32519,19.8,0.042,128
SKU_00250,150.75,26688,14.16,0.177,134
SKU_00663,122.43,32656,8.97,0.11,154
SKU_00963,197.7,20203,11.38,0.105,128
SKU_00175,91.31,43742,4.78,0.191,125
SKU_00632,258.28,15460,17.77,0.037,130
SKU_00842,93.13,42768,24.22,0.041,130
SKU_00881,337.59,11795,26.54,0.18,143
SKU_00819,170.92,23271,20.45,0.176,137
SKU_00801,80.51,49392,9.08,0.15,128
SKU_00605,233.09,17059,13.41,0.135,129
SKU_00064,144.06,27445,20.78,0.031,149
SKU_00984,365.45,10799,3.23,0.141,154
SKU_00000,190.4,20591,26.21,0.146,127
SKU_00757,269.06,14537,6.35,0.063,131
SKU_00912,313.95,12423,17.54,0.113,170
SKU_00670,90.82,42424,24.9,0.143,117
SKU_00046,159.3,24177,0.11,0.037,113
SKU_00033,474.7,8107,20.02,0.176,137
SKU_00309,139.06,27670,21.04,0.063,129
SKU_00693,124.99,30759,5.24,0.149,123
SKU_00855,99.39,38620,22.05,0.062,119
SKU_00597,90.3,42340,2.56,0.024,136
SKU_00698,81.41,46833,29.74,0.091,155
SKU_00124,117.83,32223,11.65,0.079,146
SKU_00266,350.02,10806,26.24,0.082,138
SKU_00298,313.33,12039,14.94,0.007,141
SKU_00110,148.43,25380,11.83,0.125,146
SKU_00779,322.37,11663,14.39,0.075,130
SKU_00642,109.67,34097,11.96,0.01,136
SKU_00212,327.72,11403,4.61,0.081,162
SKU_00507,412.16,9046,22.2,0.057,131
SKU_00583,167.73,22027,23.7,0.083,155
SKU_00075,365.86,10096,12.2,0.107,165
SKU_00816,297.68,12389,22.4,0.182,129
SKU_00934,89.98,40847,27.51,0.174,134
