sku_id,unit_cost,annual_demand,weight_kg,volume_cu_m,handling_type,annual_consumption_value,abc_class
SKU_00532,498.34,25949,0.11,0.157,hazardous,12931424.66,A
SKU_00949,300.72,42928,17.54,0.112,fragile,12909308.160000002,A
SKU_00396,429.91,29859,25.87,0.119,normal,12836682.690000001,A
SKU_00020,307.87,41460,28.72,0.021,hazardous,12764290.200000001,A
SKU_00548,262.55,48464,29.19,0.004,normal,12724223.200000001,A
SKU_00489,445.68,28480,26.41,0.083,hazardous,12692966.4,A
SKU_00107,379.0,33013,24.34,0.071,fragile,12511927.0,A
SKU_00609,346.75,36046,4.04,0.143,normal,12498950.5,A
SKU_00462,374.29,33326,29.65,0.072,fragile,12473588.540000001,A
SKU_00966,360.93,34547,3.57,0.125,fragile,12469048.71,A
SKU_00358,470.41,26485,22.0,0.05,fragile,12458808.850000001,A
SKU_00970,333.52,37311,25.34,0.047,normal,12443964.719999999,A
SKU_00791,295.18,42074,24.94,0.073,fragile,12419403.32,A
SKU_00755,398.04,31110,4.16,0.004,fragile,12383024.4,A
SKU_00631,448.13,27520,14.28,0.096,normal,12332537.6,A
SKU_00421,395.86,30911,2.92,0.002,normal,12236428.46,A
SKU_00534,385.65,31685,11.75,0.075,fragile,12219320.25,A
SKU_00720,469.48,26023,13.56,0.031,hazardous,12217278.040000001,A
SKU_00467,434.96,28061,29.91,0.075,hazardous,12205412.559999999,A
SKU_00233,248.8,48974,9.4,0.165,fragile,12184731.200000001,A
SKU_00688,385.9,31563,18.0,0.038,normal,12180161.7,A
SKU_00336,428.45,28187,0.5,0.136,fragile,12076720.15,A
SKU_00510,308.64,39104,0.21,0.082,fragile,12069058.559999999,A
SKU_00781,273.65,43890,5.13,0.127,hazardous,12010498.499999998,A
SKU_00824,271.01,44239,15.44,0.148,hazardous,11989211.389999999,A
SKU_00420,396.83,29881,16.62,0.188,hazardous,11857677.23,A
SKU_00847,498.45,23769,19.24,0.188,fragile,11847658.049999999,A
SKU_00551,426.83,27590,25.2,0.083,fragile,11776239.7,A
SKU_00662,304.86,38625,20.27,0.086,normal,11775217.5,A
SKU_00119,271.97,43294,27.92,0.18,normal,11774669.180000002,A
SKU_00953,457.63,25692,2.57,0.188,fragile,11757429.959999999,A
SKU_00789,473.91,24696,20.35,0.19,normal,11703681.360000001,A
SKU_00438,354.59,32957,19.32,0.149,fragile,11686222.629999999,A
SKU_00204,305.18,38101,8.15,0.113,normal,11627663.18,A
SKU_00494,234.53,49558,21.6,0.107,normal,11622837.74,A
SKU_00321,358.72,32332,13.11,0.112,hazardous,11598135.040000001,A
SKU_00453,453.65,25391,22.01,0.131,normal,11518627.149999999,A
SKU_00337,353.31,32447,8.55,0.125,fragile,11463849.57,A
SKU_00700,268.63,42387,20.88,0.087,normal,11386419.81,A
SKU_00104,454.25,25051,25.95,0.084,fragile,11379416.75,A
SKU_00716,416.16,27308,25.87,0.197,hazardous,11364497.280000001,A
SKU_00661,493.33,23011,7.82,0.117,hazardous,11352016.629999999,A
SKU_00894,335.7,33637,0.28,0.063,normal,11291940.9,A
SKU_00176,347.01,32384,1.41,0.099,normal,11237571.84,A
SKU_00187,279.82,40159,14.93,0.078,normal,11237291.379999999,A
SKU_00815,261.82,42741,1.24,0.137,fragile,11190448.62,A
SKU_00831,228.96,48468,16.93,0.124,normal,11097233.280000001,A
SKU_00725,421.71,26313,0.47,0.178,fragile,11096455.229999999,A
SKU_00359,289.86,38258,16.49,0.072,hazardous,11089463.88,A
SKU_00595,239.61,46017,0.85,0.196,hazardous,11026133.370000001,A
SKU_00523,421.85,26063,12.31,0.089,hazardous,10994676.55,A
SKU_00802,290.26,37750,9.84,0.162,hazardous,10957315.0,A
SKU_00766,382.42,28541,11.17,0.188,fragile,10914649.22,A
SKU_00086,366.16,29729,23.73,0.056,fragile,10885570.64,A
SKU_00884,400.96,27142,12.03,0.197,hazardous,10882856.32,A
SKU_00723,371.85,29265,3.06,0.054,fragile,10882190.25,A
SKU_00972,367.62,29401,4.26,0.111,hazardous,10808395.620000001,A
SKU_00076,386.78,27888,19.66,0.131,normal,10786520.639999999,A
SKU_00851,376.23,28652,7.76,0.088,normal,10779741.96,A
SKU_00196,364.35,29225,6.71,0.151,normal,10648128.75,A
SKU_00876,359.41,29444,2.16,0.074,hazardous,10582468.040000001,A
SKU_00797,284.74,37014,24.52,0.129,fragile,10539366.360000001,A
SKU_00686,287.95,36587,19.43,0.078,hazardous,10535226.65,A
SKU_00093,282.83,37229,18.92,0.19,hazardous,10529478.07,A
SKU_00242,457.86,22990,25.21,0.118,normal,10526201.4,A
SKU_00186,409.52,25659,20.31,0.198,normal,10507873.68,A
SKU_00633,268.4,39130,16.16,0.149,hazardous,10502492.0,A
SKU_00862,264.57,39675,19.37,0.189,hazardous,10496814.75,A
SKU_00074,354.89,29530,23.78,0.049,fragile,10479901.7,A
SKU_00535,472.66,22115,11.45,0.055,hazardous,10452875.9,A
SKU_00276,400.16,25921,0.79,0.104,fragile,10372547.360000001,A
SKU_00861,229.38,45205,19.01,0.012,fragile,10369122.9,A
SKU_00490,230.55,44762,15.81,0.175,fragile,10319879.1,A
SKU_00554,438.94,23379,16.82,0.098,hazardous,10261978.26,A
SKU_00444,407.34,25103,5.06,0.164,hazardous,10225456.02,A
SKU_00981,386.6,26442,14.31,0.118,fragile,10222477.200000001,A
SKU_00364,471.03,21663,23.65,0.042,fragile,10203922.889999999,A
SKU_00501,270.37,37512,17.36,0.041,hazardous,10142119.44,A
SKU_00838,292.39,34666,13.73,0.076,normal,10135991.74,A
SKU_00399,378.5,26689,8.79,0.015,fragile,10101786.5,A
SKU_00915,220.88,45508,6.66,0.004,hazardous,10051807.04,A
SKU_00258,287.18,34932,19.92,0.122,normal,10031771.76,A
SKU_00136,261.8,38297,19.81,0.044,normal,10026154.6,A
SKU_00778,361.42,27698,29.41,0.076,fragile,10010611.16,A
SKU_00804,214.94,46513,13.9,0.042,hazardous,9997504.22,A
SKU_00017,264.75,37741,0.78,0.165,fragile,9991929.75,A
SKU_00543,337.49,29526,12.7,0.159,fragile,9964729.74,A
SKU_00890,362.52,27313,16.52,0.032,fragile,9901508.76,A
SKU_00749,314.0,31424,3.25,0.062,fragile,9867136.0,A
SKU_00474,266.21,36977,24.71,0.08,normal,9843647.17,A
SKU_00695,307.26,31990,22.26,0.117,fragile,9829247.4,A
SKU_00823,202.09,48578,28.48,0.017,normal,9817128.02,A
SKU_00191,449.12,21854,9.58,0.181,hazardous,9815068.48,A
SKU_00048,275.62,35535,18.12,0.067,hazardous,9794156.7,A
SKU_00159,365.47,26785,20.05,0.076,hazardous,9789113.950000001,A
SKU_00976,299.56,32476,8.43,0.19,normal,9728510.56,A
SKU_00027,259.55,37298,4.26,0.007,hazardous,9680695.9,A
SKU_00437,411.82,23498,9.44,0.1,fragile,9676946.36,A
SKU_00116,402.82,23995,24.29,0.113,hazardous,9665665.9,A
SKU_00683,335.98,28725,22.52,0.062,hazardous,9651025.5,A
SKU_00296,386.15,24960,5.29,0.17,normal,9638304.0,A
SKU_00302,272.61,35296,22.44,0.133,hazardous,9622042.56,A
SKU_00081,313.53,30686,11.67,0.145,hazardous,9620981.58,A
SKU_00055,461.33,20762,22.65,0.133,hazardous,9578133.459999999,A
SKU_00054,300.96,31805,14.59,0.114,fragile,9572032.799999999,A
SKU_00692,256.27,37308,4.71,0.145,hazardous,9560921.16,A
SKU_00913,207.66,45899,25.28,0.153,fragile,9531386.34,A
SKU_00739,191.59,49706,0.3,0.142,normal,9523172.540000001,A
SKU_00717,482.69,19714,17.75,0.158,normal,9515750.66,A
SKU_00939,290.38,32681,24.73,0.057,hazardous,9489908.78,A
SKU_00363,275.08,34475,24.85,0.015,fragile,9483383.0,A
SKU_00968,285.37,33104,16.98,0.012,fragile,9446888.48,A
SKU_00921,246.28,38057,21.62,0.132,fragile,9372677.96,A
SKU_00408,453.16,20681,16.39,0.113,fragile,9371801.96,A
SKU_00525,237.0,39543,27.12,0.052,fragile,9371691.0,A
SKU_00989,410.46,22741,3.42,0.187,normal,9334270.86,A
SKU_00738,222.37,41881,11.43,0.163,fragile,9313077.97,A
SKU_00956,261.86,35533,3.98,0.146,hazardous,9304671.38,A
SKU_00521,193.54,48008,2.15,0.003,fragile,9291468.32,A
SKU_00691,215.59,42923,3.56,0.174,fragile,9253769.57,A
SKU_00162,318.6,28931,7.9,0.01,hazardous,9217416.600000001,A
SKU_00788,233.69,39438,15.27,0.101,hazardous,9216266.22,A
SKU_00993,297.16,30782,25.78,0.135,normal,9147179.120000001,A
SKU_00677,201.94,45241,2.86,0.121,normal,9135967.54,A
SKU_00315,349.51,26129,1.78,0.157,normal,9132346.79,A
SKU_00817,202.51,45076,16.52,0.128,hazardous,9128340.76,A
SKU_00248,481.99,18887,22.71,0.003,fragile,9103345.13,A
SKU_00188,267.18,33842,0.48,0.115,hazardous,9041905.56,A
SKU_00865,282.02,32010,22.02,0.106,fragile,9027460.2,A
SKU_00415,226.98,39599,7.74,0.036,normal,8988181.02,A
SKU_00516,191.35,46904,2.4,0.15,fragile,8975080.4,A
SKU_00578,248.6,36084,15.99,0.197,hazardous,8970482.4,A
SKU_00129,257.82,34736,26.49,0.082,normal,8955635.52,A
SKU_00533,279.94,31960,5.16,0.127,fragile,8946882.4,A
SKU_00275,253.25,35250,18.1,0.055,fragile,8927062.5,A
SKU_00742,375.07,23716,17.92,0.181,normal,8895160.12,A
SKU_00423,249.74,35588,8.54,0.125,fragile,8887747.120000001,A
SKU_00078,182.44,48643,15.81,0.113,fragile,8874428.92,A
SKU_00160,187.05,47419,0.41,0.111,hazardous,8869723.950000001,A
SKU_00504,343.94,25758,25.33,0.094,normal,8859206.52,A
SKU_00270,405.63,21836,6.84,0.031,normal,8857336.68,A
SKU_00994,183.68,47964,5.66,0.153,hazardous,8810027.52,A
SKU_00488,475.45,18411,24.6,0.158,fragile,8753509.95,A
SKU_00277,326.73,26760,9.73,0.055,normal,8743294.8,A
SKU_00103,256.74,34033,3.9,0.01,fragile,8737632.42,A
SKU_00461,326.36,26730,9.66,0.182,fragile,8723602.8,A
SKU_00303,320.53,27183,22.23,0.032,normal,8712966.989999998,A
SKU_00034,482.99,18005,3.74,0.009,normal,8696234.95,A
SKU_00848,253.59,34168,9.02,0.155,normal,8664663.120000001,A
SKU_00998,475.37,18173,11.2,0.134,fragile,8638899.01,A
SKU_00274,258.11,33439,18.02,0.005,hazardous,8630940.290000001,A
SKU_00348,190.43,45023,4.78,0.033,normal,8573729.89,A
SKU_00793,307.67,27864,5.04,0.023,hazardous,8572916.88,A
SKU_00732,334.27,25526,19.41,0.103,normal,8532576.02,A
SKU_00570,259.42,32881,18.0,0.043,fragile,8529989.020000001,A
SKU_00623,244.84,34807,27.23,0.097,normal,8522145.88,A
SKU_00255,280.62,30320,23.43,0.128,normal,8508398.4,A
SKU_00612,315.81,26888,29.13,0.14,normal,8491499.28,A
SKU_00751,470.22,17924,29.16,0.192,normal,8428223.280000001,A
SKU_00674,208.15,40387,19.99,0.079,fragile,8406554.05,A
SKU_00219,425.37,19723,4.63,0.06,normal,8389572.51,A
SKU_00263,261.57,31675,5.52,0.026,fragile,8285229.75,A
SKU_00978,250.7,33016,20.32,0.122,normal,8277111.199999999,A
SKU_00545,182.29,45341,28.99,0.07,normal,8265210.89,A
SKU_00043,455.11,17950,26.3,0.016,normal,8169224.5,A
SKU_00417,167.69,48690,16.85,0.09,fragile,8164826.1,A
SKU_00999,225.77,36135,26.11,0.094,fragile,8158198.95,A
SKU_00863,223.18,36551,24.61,0.016,hazardous,8157452.180000001,A
SKU_00268,182.95,44586,21.73,0.153,fragile,8157008.699999999,A
SKU_00125,216.42,37673,13.56,0.132,fragile,8153190.659999999,A
SKU_00714,177.69,45843,2.42,0.165,fragile,8145842.67,A
SKU_00560,353.52,22961,3.7,0.06,hazardous,8117172.72,A
SKU_00338,239.72,33856,1.43,0.064,fragile,8115960.32,A
SKU_00194,172.82,46781,16.37,0.006,hazardous,8084692.42,A
SKU_00039,222.88,36162,23.32,0.045,fragile,8059786.56,A
SKU_00564,178.54,45065,17.06,0.147,hazardous,8045905.1,A
SKU_00246,216.95,36866,22.78,0.041,hazardous,7998078.699999999,A
SKU_00499,493.17,16182,18.45,0.157,hazardous,7980476.94,A
SKU_00786,293.78,27087,21.3,0.093,normal,7957618.859999999,A
SKU_00395,465.72,17067,3.02,0.03,hazardous,7948443.24,A
SKU_00089,238.75,33139,5.77,0.181,fragile,7911936.25,A
SKU_00484,294.24,26845,27.05,0.173,fragile,7898872.8,A
SKU_00304,364.42,21610,28.51,0.025,fragile,7875116.2,A
SKU_00607,185.31,42367,19.22,0.177,fragile,7851028.7700000005,A
SKU_00161,317.99,24678,7.74,0.161,hazardous,7847357.220000001,A
SKU_00217,374.51,20795,18.4,0.042,normal,7787935.45,A
SKU_00174,324.36,23974,18.53,0.198,hazardous,7776206.640000001,A
SKU_00365,196.12,39441,18.77,0.077,hazardous,7735168.92,A
SKU_00910,297.2,25866,8.06,0.01,normal,7687375.199999999,A
SKU_00502,158.22,48579,22.17,0.118,normal,7686169.38,A
SKU_00639,191.76,39848,13.94,0.198,fragile,7641252.4799999995,A
SKU_00343,219.76,34550,29.25,0.187,fragile,7592708.0,A
SKU_00553,282.66,26823,18.68,0.078,fragile,7581789.180000001,A
SKU_00990,400.71,18892,19.07,0.076,normal,7570213.319999999,A
SKU_00069,493.51,15329,6.7,0.095,fragile,7565014.79,A
SKU_00153,247.28,30548,2.57,0.192,normal,7553909.44,A
SKU_00857,238.67,31501,27.88,0.158,normal,7518343.67,A
SKU_00003,301.34,24891,17.28,0.151,fragile,7500653.9399999995,A
SKU_00085,165.97,45184,12.62,0.064,fragile,7499188.4799999995,A
SKU_00657,184.73,40463,11.76,0.127,normal,7474729.989999999,A
SKU_00195,177.86,41973,19.12,0.168,fragile,7465317.78,A
SKU_00853,449.54,16493,29.15,0.134,fragile,7414263.220000001,A
SKU_00785,454.68,16273,24.82,0.172,normal,7399007.64,B
SKU_00376,423.21,17443,0.76,0.183,normal,7382052.029999999,B
SKU_00451,281.41,26115,1.1,0.14,fragile,7349022.15,B
SKU_00122,162.41,45128,24.77,0.199,fragile,7329238.4799999995,B
SKU_00045,332.95,21876,25.56,0.074,fragile,7283614.2,B
SKU_00106,208.14,34901,19.59,0.152,normal,7264294.14,B
SKU_00906,409.63,17725,25.92,0.11,normal,7260691.75,B
SKU_00684,465.04,15604,12.44,0.084,hazardous,7256484.16,B
SKU_00157,382.0,18950,6.91,0.167,fragile,7238900.0,B
SKU_00618,404.07,17874,12.27,0.058,normal,7222347.18,B
SKU_00452,214.99,33420,10.97,0.042,fragile,7184965.800000001,B
SKU_00547,337.43,21216,21.26,0.083,fragile,7158914.88,B
SKU_00102,160.61,44560,4.56,0.047,fragile,7156781.600000001,B
SKU_00526,210.34,33823,7.06,0.149,normal,7114329.82,B
SKU_00660,181.27,39162,20.16,0.011,normal,7098895.74,B
SKU_00572,201.29,35146,26.33,0.034,fragile,7074538.34,B
SKU_00743,253.85,27823,3.13,0.187,hazardous,7062868.55,B
SKU_00896,150.11,46982,26.08,0.036,hazardous,7052468.0200000005,B
SKU_00756,311.94,22543,3.07,0.017,hazardous,7032063.42,B
SKU_00566,199.16,35233,24.75,0.025,hazardous,7017004.28,B
SKU_00849,299.72,23353,7.29,0.026,fragile,6999361.160000001,B
SKU_00734,182.62,38318,22.88,0.088,hazardous,6997633.16,B
SKU_00373,343.09,20117,28.42,0.198,normal,6901941.529999999,B
SKU_00341,239.37,28702,8.34,0.015,normal,6870397.74,B
SKU_00917,474.48,14310,6.52,0.095,fragile,6789808.8,B
SKU_00685,280.6,24189,19.42,0.143,normal,6787433.4,B
SKU_00567,221.55,30623,2.32,0.127,normal,6784525.65,B
SKU_00675,491.28,13769,24.03,0.033,fragile,6764434.319999999,B
SKU_00082,168.79,40074,28.92,0.124,fragile,6764090.46,B
SKU_00138,185.0,36432,3.25,0.004,normal,6739920.0,B
SKU_00584,318.53,21039,17.24,0.151,fragile,6701552.669999999,B
SKU_00024,230.75,29021,14.43,0.168,fragile,6696595.75,B
SKU_00279,398.92,16761,4.56,0.097,fragile,6686298.12,B
SKU_00596,335.44,19916,20.86,0.103,fragile,6680623.04,B
SKU_00012,417.06,15996,21.67,0.094,fragile,6671291.76,B
SKU_00986,345.76,19269,11.62,0.152,fragile,6662449.4399999995,B
SKU_00529,433.04,15382,26.98,0.166,normal,6661021.28,B
SKU_00115,436.37,15252,28.29,0.092,normal,6655515.24,B
SKU_00025,393.66,16874,9.48,0.142,fragile,6642618.840000001,B
SKU_00843,480.73,13773,14.35,0.044,normal,6621094.29,B
SKU_00229,317.41,20770,8.41,0.01,fragile,6592605.7,B
SKU_00232,290.57,22634,19.76,0.071,normal,6576761.38,B
SKU_00455,248.85,26389,9.46,0.011,hazardous,6566902.649999999,B
SKU_00050,484.94,13509,11.66,0.148,hazardous,6551054.46,B
SKU_00091,358.06,18255,9.77,0.129,hazardous,6536385.3,B
SKU_00344,202.26,32296,11.2,0.17,hazardous,6532188.96,B
SKU_00018,218.81,29811,4.7,0.157,normal,6522944.91,B
SKU_00765,287.1,22712,25.08,0.002,normal,6520615.2,B
SKU_00651,270.87,23957,0.99,0.071,hazardous,6489232.59,B
SKU_00261,495.08,13087,0.97,0.051,normal,6479111.96,B
SKU_00051,388.69,16614,16.98,0.045,normal,6457695.66,B
SKU_00506,455.91,14125,1.03,0.043,hazardous,6439728.75,B
SKU_00062,415.23,15417,8.04,0.059,fragile,6401600.91,B
SKU_00375,162.89,39210,5.57,0.188,hazardous,6386916.899999999,B
SKU_00144,146.0,43613,29.13,0.191,fragile,6367498.0,B
